"LINEAGE_AT1PERCENT","DATE_NUM_AT1PERCENT","DATE_AT1PERCENT","contrast","estimate","SE","df","asymp.LCL","asymp.UCL","p.value"
"Omicron (BA.2)",19001,2022-01-09,"Beta - Omicron (BA.4)",-0.55938016434057,0.0211933173495544,NA,-0.600918303058625,-0.517842025622516,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Beta - Omicron (BA.5)",-0.607841552031724,0.0480576720901682,NA,-0.702032858509289,-0.513650245554158,6.21724893790088e-15
"Omicron (BA.2)",19001,2022-01-09,"Gamma - Delta",-0.200918570542973,0.00802879203216987,NA,-0.216654713765388,-0.185182427320558,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Gamma - Omicron (BA.2)",-0.444886629272764,0.00835712599982277,NA,-0.46126629524668,-0.428506963298848,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Gamma - Omicron (BA.3)",-0.383620419744394,0.0132471818071355,NA,-0.409584418983034,-0.357656420505754,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Gamma - Omicron (BA.1.1, with S:R346K)",-0.364162068212226,0.00821181626742078,NA,-0.380256932344031,-0.348067204080421,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Gamma - Omicron (BA.4)",-0.515078222010951,0.0172676605027293,NA,-0.548922214693565,-0.481234229328336,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Gamma - Omicron (BA.5)",-0.563539609702104,0.0464602474443502,NA,-0.65460002140585,-0.472479197998358,1.4210854715202e-14
"Omicron (BA.2)",19001,2022-01-09,"Delta - Omicron (BA.2)",-0.243968058729791,0.00244286914158156,NA,-0.248755994266236,-0.239180123193347,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Delta - Omicron (BA.3)",-0.182701849201421,0.0105647782956153,NA,-0.203408434165478,-0.161995264237365,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Delta - Omicron (BA.1.1, with S:R346K)",-0.163243497669253,0.00188613344659713,NA,-0.16694025129462,-0.159546744043886,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Delta - Omicron (BA.4)",-0.314159651467978,0.0153068524772134,NA,-0.344160531039984,-0.284158771895972,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Delta - Omicron (BA.5)",-0.362621039159131,0.0457676893507891,NA,-0.452324061942295,-0.272918016375967,5.00830488192605e-11
"Omicron (BA.2)",19001,2022-01-09,"Omicron (BA.2) - Omicron (BA.3)",0.06126620952837,0.0104070015085697,NA,0.0408688613845193,0.0816635576722207,1.70403678489972e-06
"Omicron (BA.2)",19001,2022-01-09,"Omicron (BA.2) - Omicron (BA.1.1, with S:R346K)",0.0807245610605386,0.00201524996947028,NA,0.0767747437005314,0.0846743784205458,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Omicron (BA.2) - Omicron (BA.4)",-0.0701915927381864,0.0151574705215983,NA,-0.0998996890572466,-0.0404834964191262,0.000439737135512708
"Omicron (BA.2)",19001,2022-01-09,"Omicron (BA.2) - Omicron (BA.5)",-0.11865298042934,0.0457139029962448,NA,-0.208250583894737,-0.0290553769639422,0.262048575176219
"Omicron (BA.2)",19001,2022-01-09,"Omicron (BA.3) - Omicron (BA.1.1, with S:R346K)",0.0194583515321686,0.010454025373246,NA,-0.00103116169286139,0.0399478647571985,0.740814351315613
"Omicron (BA.2)",19001,2022-01-09,"Omicron (BA.3) - Omicron (BA.4)",-0.131457802266556,0.0183715848842852,NA,-0.167465446978676,-0.095450157554437,2.98506175333557e-09
"Omicron (BA.2)",19001,2022-01-09,"Omicron (BA.3) - Omicron (BA.5)",-0.17991918995771,0.046882976402011,NA,-0.271808135193693,-0.0880302447217269,0.00857592446471866
"Omicron (BA.2)",19001,2022-01-09,"Omicron (BA.1.1, with S:R346K) - Omicron (BA.4)",-0.150916153798725,0.0152291063115857,NA,-0.180764653686165,-0.121067653911285,1.0369483049999e-13
"Omicron (BA.2)",19001,2022-01-09,"Omicron (BA.1.1, with S:R346K) - Omicron (BA.5)",-0.199377541489878,0.0457413656356513,NA,-0.289028970739433,-0.109726112240324,0.00128682416517145
"Omicron (BA.2)",19001,2022-01-09,"Omicron (BA.4) - Omicron (BA.5)",-0.0484613876911533,0.0481369549491322,NA,-0.142808085716879,0.0458853103345729,0.995190841679804
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Omicron (BA.1) - Other",0.104052206220926,0.0017407063291275,NA,0.100640484508175,0.107463927933677,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Omicron (BA.1) - Alpha",0.272245478417368,0.00334668215543401,NA,0.265686101925015,0.278804854909722,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Omicron (BA.1) - Beta",0.353760478400302,0.0136908032202586,NA,0.32692699716917,0.380593959631433,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Omicron (BA.1) - Gamma",0.310010397288176,0.00751775155595442,NA,0.295275874993786,0.324744919582567,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Omicron (BA.1) - Delta",0.120923139940145,0.00162252826427554,NA,0.117743042978267,0.124103236902024,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Omicron (BA.1) - Omicron (BA.2)",-0.115398194475254,0.00172828834320633,NA,-0.118785577382839,-0.112010811567669,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Omicron (BA.1) - Omicron (BA.3)",-0.0437588132223193,0.00971381178711459,NA,-0.0627975344776645,-0.024720091966974,0.00072794150496458
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Omicron (BA.1) - Omicron (BA.1.1, with S:R346K)",-0.0309050926985591,0.00266095573551984,NA,-0.0361204701046333,-0.0256897152924849,2.95319324550292e-14
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Omicron (BA.1) - Omicron (BA.4)",-0.164778775012505,0.0141565612240783,NA,-0.192525125156635,-0.137032424868375,2.8643754035329e-14
