"contrast","continent","estimate","SE","df","asymp.LCL","asymp.UCL","p.value"
"Alpha - Omicron (BA.5)","Europe",-0.190851646316863,0.000805801579236702,NA,-0.192430988390852,-0.189272304242873,0
"Alpha - Beta","Europe",0.0184829108946839,0.00278420090647542,NA,0.0130259773922683,0.0239398443970995,7.90476284429076e-09
"Other - Omicron (BA.5)","Europe",-0.0375488322209283,0.000478087834974655,NA,-0.0384858671589254,-0.0366117972829313,0
"Other - Beta","Europe",0.171785724990619,0.00277964622881198,NA,0.166337718492384,0.177233731488853,0
"Other - Alpha","Europe",0.153302814095935,0.000686979025068841,NA,0.151956359948665,0.154649268243204,0
"Delta - Omicron (BA.5)","Europe",-0.141077524089334,0.000649283877381735,NA,-0.142350097104745,-0.139804951073924,0
"Delta - Beta","Europe",0.0682570331222123,0.00282683264228624,NA,0.0627165429530091,0.0737975232914155,0
"Delta - Alpha","Europe",0.0497741222275284,0.000898217409658611,NA,0.0480136484543107,0.0515345960007462,0
"Delta - Other","Europe",-0.103528691868406,0.000346189452765877,NA,-0.104207210727655,-0.102850173009157,0
"Omicron (BA.1) - Omicron (BA.5)","Europe",-0.1939602084083,0.000645566160361036,NA,-0.195225494832245,-0.192694921984355,0
"Omicron (BA.1) - Beta","Europe",0.0153743488032469,0.002819790069599,NA,0.00984766182286913,0.0209010357836246,6.07383146800089e-06
"Omicron (BA.1) - Alpha","Europe",-0.00310856209143703,0.000821592778359968,NA,-0.00471885434698077,-0.0014982698358933,0.00977086395597959
"Omicron (BA.1) - Other","Europe",-0.156411376187372,0.000523766779811103,NA,-0.1574379402121,-0.155384812162643,0
"Omicron (BA.1) - Delta","Europe",-0.0528826843189655,0.000708435703844249,NA,-0.0542711927838625,-0.0514941758540684,0
"Omicron (BA.2) - Omicron (BA.5)","Europe",-0.0988709908081399,0.000340105420465863,NA,-0.0995375851831999,-0.09820439643308,0
"Omicron (BA.2) - Beta","Europe",0.110463566403407,0.00280096550126108,NA,0.104973774898996,0.115953357907818,0
"Omicron (BA.2) - Alpha","Europe",0.091980655508723,0.000756641975534538,NA,0.0904976644874841,0.0934636465299619,0
"Omicron (BA.2) - Other","Europe",-0.0613221585872116,0.000400201580567978,NA,-0.0621065392716808,-0.0605377779027424,0
"Omicron (BA.2) - Delta","Europe",0.0422065332811946,0.000602063481276052,NA,0.0410265105414867,0.0433865560209025,0
"Omicron (BA.2) - Omicron (BA.1)","Europe",0.09508921760016,0.000589026511472009,NA,0.0939347468517356,0.0962436883485844,0
"Omicron (BA.3) - Omicron (BA.5)","Europe",-0.0860319946788179,0.0021217238193589,NA,-0.0901904969499022,-0.0818734924077337,0
"Omicron (BA.3) - Beta","Europe",0.123302562532729,0.00348025511616608,NA,0.116481387848032,0.130123737217426,0
"Omicron (BA.3) - Alpha","Europe",0.104819651638045,0.00220212454612666,NA,0.100503566838165,0.109135736437925,0
"Omicron (BA.3) - Other","Europe",-0.0484831624578896,0.00209481641188878,NA,-0.0525889271794151,-0.0443773977363642,0
"Omicron (BA.3) - Delta","Europe",0.0550455294105165,0.00213076408413233,NA,0.0508693085460657,0.0592217502749674,0
"Omicron (BA.3) - Omicron (BA.1)","Europe",0.107928213729482,0.0021257053843737,NA,0.103761907734367,0.112094519724597,0
"Omicron (BA.3) - Omicron (BA.2)","Europe",0.012838996129322,0.0021021070176223,NA,0.00871894208313335,0.0169590501755106,1.75476019381726e-07
"Omicron (BA.4) - Omicron (BA.5)","Europe",-0.0280959290993458,0.000479964098735605,NA,-0.0290366414467398,-0.0271552167519518,0
"Omicron (BA.4) - Beta","Europe",0.181238628112201,0.00283584102651524,NA,0.17568048183435,0.186796774390052,0
"Omicron (BA.4) - Alpha","Europe",0.162755717217517,0.000878092259503033,NA,0.161034688013788,0.164476746421246,0
"Omicron (BA.4) - Other","Europe",0.00945290312158253,0.0005914333347714,NA,0.00829371508617417,0.0106120911569909,0
"Omicron (BA.4) - Delta","Europe",0.112981594989989,0.000736491298137002,NA,0.111538098570713,0.114425091409264,0
"Omicron (BA.4) - Omicron (BA.1)","Europe",0.165864279308954,0.000732144340161773,NA,0.164429302770752,0.167299255847156,0
"Omicron (BA.4) - Omicron (BA.2)","Europe",0.0707750617087941,0.000484347730048164,NA,0.069825757601906,0.0717243658156823,0
"Omicron (BA.4) - Omicron (BA.3)","Europe",0.0579360655794722,0.00214963267475121,NA,0.0537228629569693,0.062149268201975,0
"Omicron (BA.2.74) - Omicron (BA.5)","Europe",0.0404394413967813,0.00820037000585431,NA,0.0243670115254043,0.0565118712681583,7.979217492593e-05
"Omicron (BA.2.74) - Beta","Europe",0.249773998608328,0.00866793404839515,NA,0.232785160053105,0.266762837163551,0
"Omicron (BA.2.74) - Alpha","Europe",0.231291087713644,0.00823784511758471,NA,0.215145207972959,0.247436967454329,0
"Omicron (BA.2.74) - Other","Europe",0.0779882736177096,0.00821228354240277,NA,0.0618924936437692,0.09408405359165,0
"Omicron (BA.2.74) - Delta","Europe",0.181516965486116,0.00822404201271948,NA,0.165398139333841,0.19763579163839,0
"Omicron (BA.2.74) - Omicron (BA.1)","Europe",0.234399649805081,0.00822381700063439,NA,0.21828126466839,0.250518034941773,0
"Omicron (BA.2.74) - Omicron (BA.2)","Europe",0.139310432204921,0.00820535828103225,NA,0.123228225493851,0.155392638915992,0
"Omicron (BA.2.74) - Omicron (BA.3)","Europe",0.126471436075599,0.00846836693252997,NA,0.109873741879971,0.143069130271228,0
"Omicron (BA.2.74) - Omicron (BA.4)","Europe",0.0685353704961271,0.00821078714190355,NA,0.0524425234132715,0.0846282175789826,0
"Omicron (BA.2.76) - Omicron (BA.5)","Europe",0.0070570433599612,0.00533484280928834,NA,-0.00339905640942642,0.0175131431293488,0.975729357652076
"Omicron (BA.2.76) - Beta","Europe",0.216391600571508,0.00602583387423915,NA,0.204581183201178,0.228202017941838,0
"Omicron (BA.2.76) - Alpha","Europe",0.197908689676824,0.00538884140928904,NA,0.18734675459622,0.208470624757429,0
"Omicron (BA.2.76) - Other","Europe",0.0446058755808895,0.00534969849214848,NA,0.0341206592081302,0.0550910919536488,0
