group,date,vlo,vmd,vhi,mlo,mmd,mhi,rlo,rmd,rhi,sgtfv,fplo,fpmd,fphi,rfplo,rfpmd,rfphi
South East,2020-09-19,0.00308156606588572,0.00419059157468225,0.00537547051970233,0.0438347803150912,0.0513622683815756,0.05967061799379,0.0236946004984331,0.0568931968765829,0.109451363035546,0.082495028748242,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-20,0.00333809392040395,0.00452400221269532,0.0057835026870236,0.0442264746393767,0.0516772337411168,0.0599775557020838,0.0242283493041009,0.0566802444080392,0.109447520399254,0.0884525131432448,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-21,0.00361574208150324,0.00488346873257067,0.00622323314481715,0.0446026678629673,0.0520087287520006,0.0603033866519747,0.0243892131967611,0.0573906529995731,0.111027223102172,0.0947953408806392,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-22,0.00391573765922523,0.00527109437641629,0.00669413209799961,0.0449712804098469,0.0523844344644129,0.0606252963804681,0.024497319194849,0.0572649621708654,0.110319652480436,0.101541868700997,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-23,0.00424244035454498,0.00568486798553011,0.00719773855185784,0.045424279319608,0.0527839611141489,0.0610060902351417,0.0246934293257884,0.0574690871586095,0.111421664565663,0.10871037392072,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-24,0.00459465233373956,0.00613558007344696,0.00773788702595958,0.0458870764360423,0.053197789764032,0.0614177023694372,0.0250069195070932,0.0582794424693285,0.112025043737672,0.116318892773807,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-25,0.00497789050955294,0.00662206702010782,0.00832247353202197,0.0463684355412215,0.0536501527947397,0.0618531367196506,0.0253764378984776,0.0584111983667367,0.111560696887451,0.124385038267274,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-26,0.00539313976857728,0.00714573583002034,0.00895082633506076,0.046879626708473,0.0541605628645063,0.0623399870729657,0.0256868121069778,0.0588570418654467,0.111887055826144,0.132925797368996,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-27,0.00584282519920045,0.00771012479706106,0.00962629398835992,0.0474519108171085,0.0547039994368517,0.0628507434852007,0.0262592812590742,0.0600027140242503,0.113238389661128,0.141957307815544,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-28,0.00632976724755985,0.00832037609800541,0.0103530334860413,0.0480684740911568,0.0552640825416592,0.0633273997464993,0.0262465045156719,0.060580312485611,0.116166376536732,0.151494615388631,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-29,0.00685648055313908,0.00897811603810304,0.0111350898162823,0.0487569527666935,0.0559061622074247,0.063944190577258,0.0267418725947548,0.0614417294309236,0.115408862805923,0.161551413161466,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-30,0.00742553979098743,0.00968675834909303,0.0119752887224272,0.0495290799345169,0.0565838142282893,0.0645573947460315,0.0274729459720585,0.0614873985024543,0.116798861648246,0.17213976495547,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-10-01,0.00804121547606182,0.010447413988027,0.0128780593563021,0.0503054982334456,0.0573348790763342,0.0652911733294667,0.0276790497950186,0.0625419379161282,0.117475704508779,0.183269816062219,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-10-02,0.0087074910146078,0.0112679921191509,0.0138602674880482,0.0511369801724011,0.058103405841484,0.0660266768088589,0.0287380152664186,0.0635445282041276,0.117519525035128,0.194949495157529,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
