DATE,LTLA,TRAVEL_INDICATOR,LINEAGE,COUNT,SOURCE
2020-10-27,E07000106,Not travel-associated,B.1.1.7,2,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-27,E07000108,Not travel-associated,B.1.1.7,2,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-27,E07000110,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-27,E07000113,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-27,E07000199,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-27,E07000202,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-27,E07000216,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-27,E07000228,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-27,E09000006,Not travel-associated,B.1.1.7,2,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-27,E09000016,Not travel-associated,B.1.1.7,5,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-27,E09000024,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-27,E09000027,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E06000033,Not travel-associated,B.1.1.7,2,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E06000034,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E06000035,Not travel-associated,B.1.1.7,13,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E06000056,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000004,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000031,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000039,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000062,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000064,Not travel-associated,B.1.1.7,2,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000065,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
