"row","locality_revgeo","administrative_area_level_1_revgeo","administrative_area_level_2_revgeo","country_revgeo"
173,"Hounde","Hauts-Bassins Region","Tuy","Burkina Faso"
174,NA,"Plateau-Central Region","Oubritenga","Burkina Faso"
175,"N'dorola","Hauts-Bassins Region","Kenedougou","Burkina Faso"
176,NA,"Centre Region","Kadiogo","Burkina Faso"
177,"Orodara","Hauts-Bassins Region","Kenedougou","Burkina Faso"
178,"Ouagadougou","Centre Region","Kadiogo","Burkina Faso"
179,"Ziniare","Plateau-Central Region","Oubritenga","Burkina Faso"
180,"Kibogoye","Gitega","Commune de Giheta","Burundi"
181,NA,"Adamawa","Djerem","Cameroon"
182,"Ambam","South","Vallee du Ntem","Cameroon"
183,"Bafoussam","West","Mifi","Cameroon"
184,NA,"Centre","Mbam-et-Kim","Cameroon"
185,NA,"Centre","Mbam-et-Kim","Cameroon"
186,"Douala","Littoral","Wouri","Cameroon"
187,"Dschang","West","Menoua","Cameroon"
188,NA,"East","Kadei","Cameroon"
189,"Ebolowa","South","Mvila","Cameroon"
190,NA,"Far North","Mayo-Kani","Cameroon"
191,"Garoua","North","Bénoué","Cameroon"
192,"Kribi","South","Ocean","Cameroon"
193,NA,"Littoral","Nkam","Cameroon"
194,"Sangmelima","South","Dja-Et-Lobo","Cameroon"
195,NA,"South","Mvila","Cameroon"
196,NA,"South","Mvila","Cameroon"
197,NA,"Southwest","Meme","Cameroon"
198,NA,"West","Noun","Cameroon"
199,"Yaoundé","Centre","Mfoundi","Cameroon"
200,"Yaoundé","Centre","Mfoundi","Cameroon"
201,NA,"Brava",NA,"Cape Verde"
202,NA,"Sao Filipe",NA,"Cape Verde"
203,NA,"Maio",NA,"Cape Verde"
204,"Mindelo","São Vicente",NA,"Cape Verde"
205,"Praia","Praia",NA,"Cape Verde"
206,NA,"São Lourenço dos Órgãos",NA,"Cape Verde"
207,"Bayanga","Sangha-Mbaéré","Bayanga","Central African Republic"
208,NA,"Ouaka","Bakala","Central African Republic"
209,"N'Djamena","N'Djamena","N'Djaména","Chad"
210,"Fomboni","Mwali","Fomboni","Comoros"
211,NA,"Mwali","Fomboni","Comoros"
212,NA,"Mwali","Nioumachoua","Comoros"
213,NA,"Mwali","Fomboni","Comoros"
214,NA,"Ngazidja","Oichili","Comoros"
215,"Brazzaville","Brazzaville",NA,"Republic of the Congo"
216,"Brazzaville","Brazzaville",NA,"Republic of the Congo"
217,"Brazzaville","Brazzaville",NA,"Republic of the Congo"
218,NA,"Brazzaville",NA,"Republic of the Congo"
219,"Brazzaville","Brazzaville",NA,"Republic of the Congo"
220,"Brazzaville","Brazzaville",NA,"Republic of the Congo"
221,"Brazzaville","Brazzaville",NA,"Republic of the Congo"
222,"Brazzaville","Brazzaville",NA,"Republic of the Congo"
223,NA,"Cuvette-Ouest","Ewo","Republic of the Congo"
224,"Brazzaville","Brazzaville",NA,"Republic of the Congo"
225,"Brazzaville","Brazzaville",NA,"Republic of the Congo"
226,"Brazzaville","Brazzaville",NA,"Republic of the Congo"
227,"Bukavu","South-Kivu","Rusizi","Democratic Republic of the Congo"
228,NA,"Haut-Katanga","Kasenga","Democratic Republic of the Congo"
229,NA,"Haut-Katanga","Kasenga","Democratic Republic of the Congo"
230,NA,"Haut-Uélé","Niangara","Democratic Republic of the Congo"
231,NA,"Haut-Katanga","Kasenga","Democratic Republic of the Congo"
232,"Kinshasa","Kinshasa",NA,"Democratic Republic of the Congo"
233,"Kisantu","Kongo Central",NA,"Democratic Republic of the Congo"
234,NA,"Kongo-Central","Luozi","Democratic Republic of the Congo"
235,NA,"Kasaï","Mweka","Democratic Republic of the Congo"
236,NA,"Kasaï","Mweka","Democratic Republic of the Congo"
237,NA,"Kwilu","Bulungu","Democratic Republic of the Congo"
238,NA,"Lualaba","Mutshatsha","Democratic Republic of the Congo"
239,NA,"Sankuru","Katako-Kombe","Democratic Republic of the Congo"
240,NA,"Nord-Kivu","Walikale","Democratic Republic of the Congo"
241,NA,"Sud-Kivu","Mwenga","Democratic Republic of the Congo"
242,NA,"Sud-Kivu","Mwenga","Democratic Republic of the Congo"
