"contrast","continent","estimate","SE","df","asymp.LCL","asymp.UCL","p.value"
"Omicron (BA.4) - Beta","North America",0.197846278873676,0.00705429017311766,NA,0.18402012419787,0.211672433549481,0
"Omicron (BA.4) - Alpha","North America",0.176915285221641,0.00099882350149998,NA,0.174957627131789,0.178872943311493,0
"Omicron (BA.4) - Other","North America",0.00900778518220635,0.000581309008253608,NA,0.00786844046214058,0.0101471299022721,0
"Omicron (BA.4) - Delta","North America",0.112188120826294,0.000707204207221507,NA,0.110802026050424,0.113574215602163,0
"Omicron (BA.4) - Omicron (BA.1)","North America",0.149738233754392,0.000750680276046648,NA,0.148266927449436,0.151209540059348,0
"Omicron (BA.4) - Omicron (BA.2)","North America",0.0752415993274095,0.000496402789673144,NA,0.0742686677378249,0.0762145309169941,0
"Omicron (BA.4) - Omicron (BA.3)","North America",0.0543837124542471,0.00234038068743642,NA,0.0497966505967586,0.0589707743117355,0
"Omicron (BA.2.74) - Omicron (BA.5)","North America",0.0184306017458233,0.0147453950070194,NA,-0.0104698414057514,0.047331044897398,0.983705689383172
"Omicron (BA.2.74) - Beta","North America",0.242320803097453,0.0163444411048093,NA,0.21028628718459,0.274355319010315,0
"Omicron (BA.2.74) - Alpha","North America",0.221389809445418,0.0147694286076991,NA,0.192442261302092,0.250337357588743,0
"Omicron (BA.2.74) - Other","North America",0.0534823094059833,0.0147470207978054,NA,0.0245786797630216,0.0823859390489449,0.0197384292024502
"Omicron (BA.2.74) - Delta","North America",0.15666264505007,0.0147524650484745,NA,0.127748344871875,0.185576945228266,8.26005930321116e-14
"Omicron (BA.2.74) - Omicron (BA.1)","North America",0.194212757978169,0.0147549449494477,NA,0.165293597283381,0.223131918672958,0
"Omicron (BA.2.74) - Omicron (BA.2)","North America",0.119716123551186,0.0147438490646078,NA,0.0908187103910605,0.148613536711312,1.30868649250715e-11
"Omicron (BA.2.74) - Omicron (BA.3)","North America",0.098858236678024,0.0149202209930092,NA,0.0696151408903475,0.1281013324657,4.27881565734367e-08
"Omicron (BA.2.74) - Omicron (BA.4)","North America",0.0444745242237769,0.0147485205172544,NA,0.0155679551847083,0.0733810932628455,0.114880313529231
"Omicron (BA.2.76) - Omicron (BA.5)","North America",-0.0131145475076702,0.00536221328436563,NA,-0.0236242924224491,-0.00260480259289135,0.38293384640569
"Omicron (BA.2.76) - Beta","North America",0.210775653843959,0.00884332870761087,NA,0.193443048073593,0.228108259614326,0
"Omicron (BA.2.76) - Alpha","North America",0.189844660191924,0.00542368093536462,NA,0.179214440894973,0.200474879488875,0
"Omicron (BA.2.76) - Other","North America",0.0219371601524898,0.0053624920817253,NA,0.0114268688049269,0.0324474515000526,0.00398051667917454
"Omicron (BA.2.76) - Delta","North America",0.125117495796577,0.00537754945123985,NA,0.114577692547064,0.13565729904609,0
"Omicron (BA.2.76) - Omicron (BA.1)","North America",0.162667608724676,0.00538386196288653,NA,0.152115433179683,0.173219784269668,0
"Omicron (BA.2.76) - Omicron (BA.2)","North America",0.0881709742976929,0.00535370382637788,NA,0.077677907614098,0.0986640409812878,0
"Omicron (BA.2.76) - Omicron (BA.3)","North America",0.0673130874245305,0.00582200632681724,NA,0.0559021647062043,0.0787240101428566,2.1538326677728e-14
"Omicron (BA.2.76) - Omicron (BA.4)","North America",0.0129293749702834,0.00536873248295739,NA,0.00240685266105662,0.0234518972795102,0.407473251978787
"Omicron (BA.2.76) - Omicron (BA.2.74)","North America",-0.0315451492534935,0.0156816248568829,NA,-0.0622805691920521,-0.000809729314934941,0.684846106783204
"Omicron (BA.2.75) - Omicron (BA.5)","North America",0.079916925861199,0.00856694620461201,NA,0.0631260198426673,0.0967078318797306,1.13464793116691e-13
"Omicron (BA.2.75) - Beta","North America",0.303807127212828,0.0110718086516583,NA,0.282106781011859,0.325507473413798,0
"Omicron (BA.2.75) - Alpha","North America",0.282876133560793,0.00862255675431232,NA,0.265976232867689,0.299776034253898,0
"Omicron (BA.2.75) - Other","North America",0.114968633521359,0.00858412456964132,NA,0.0981440585260566,0.131793208516661,0
"Omicron (BA.2.75) - Delta","North America",0.218148969165446,0.00859360044114854,NA,0.201305821803268,0.234992116527625,0
"Omicron (BA.2.75) - Omicron (BA.1)","North America",0.255699082093545,0.00859737950854324,NA,0.238848527895377,0.272549636291712,0
"Omicron (BA.2.75) - Omicron (BA.2)","North America",0.181202447666562,0.00857880365178504,NA,0.164388301478623,0.198016593854501,0
"Omicron (BA.2.75) - Omicron (BA.3)","North America",0.1603445607934,0.00888046464099166,NA,0.142939169931075,0.177749951655725,0
"Omicron (BA.2.75) - Omicron (BA.4)","North America",0.105960848339153,0.00858741061876761,NA,0.0891298328059113,0.122791863872394,0
"Omicron (BA.2.75) - Omicron (BA.2.74)","North America",0.0614863241153757,0.0171177622933613,NA,0.0279361265244699,0.0950365217062815,0.0220600547826783
"Omicron (BA.2.75) - Omicron (BA.2.76)","North America",0.0930314733688692,0.0101200658923337,NA,0.0731965086987229,0.112866438039016,1.28341781646668e-13
"Beta - Omicron (BA.5)","Europe",-0.133085593279279,0.00381277497070631,NA,-0.140558494903019,-0.125612691655539,0
"Alpha - Omicron (BA.5)","Europe",-0.140433605249906,0.00104664816390745,NA,-0.14248499795565,-0.138382212544163,0
"Alpha - Beta","Europe",-0.00734801197062729,0.00377017890893477,NA,-0.0147374268474119,4.14029061573725e-05,0.72633336806
"Other - Omicron (BA.5)","Europe",-0.0234091762936733,0.000791625873589307,NA,-0.0249607344951384,-0.0218576180922082,0
"Other - Beta","Europe",0.109676416985606,0.00373042165237715,NA,0.102364924899798,0.116987909071413,0
"Other - Alpha","Europe",0.117024428956233,0.000698797484663146,NA,0.115654811053806,0.11839404685866,0
