"week_midpoint","country","non_sgtf","sgtf","Other","Alpha","Beta","Gamma","Delta","Omicron (B.1.1.529)","Omicron (BA.1)","Omicron (BA.2)","Omicron (BA.3)","Omicron","Total","longitude","latitude","continent","date_num"
2019-12-26,"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,-8.45616045,29.83762793,"Africa",18256
2019-12-26,"Mozambique",0,0,0,0,0,0,0,0,0,0,0,0,0,35.53367351,-17.27381898,"Africa",18256
2019-12-26,"Myanmar",0,0,0,0,0,0,0,0,0,0,0,0,0,96.48843207,21.18566514,"Asia",18256
2019-12-26,"Namibia",0,0,0,0,0,0,0,0,0,0,0,0,0,17.20962769,-22.13030791,"Africa",18256
2019-12-26,"Nepal",0,0,0,0,0,0,0,0,0,0,0,0,0,83.9158367,28.24891362,"Asia",18256
2019-12-26,"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,5.2814735,52.10080804,"Europe",18256
2019-12-26,"New Zealand",0,0,0,0,0,0,0,0,0,0,0,0,0,171.4849539,-41.81112825,"Oceania",18256
2019-12-26,"Niger",0,0,0,0,0,0,0,0,0,0,0,0,0,9.38546454,17.41912605,"Africa",18256
2019-12-26,"Nigeria",0,0,0,0,0,0,0,0,0,0,0,0,0,8.08944243,9.59411807,"Africa",18256
2019-12-26,"North Macedonia",0,0,0,0,0,0,0,0,0,0,0,0,0,21.745275,41.608635,"Europe",18256
2019-12-26,"Northern Mariana Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,145.6196188,15.82873009,"Oceania",18256
2019-12-26,"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,15.34832968,68.75014407,"Europe",18256
2019-12-26,"Oman",0,0,0,0,0,0,0,0,0,0,0,0,0,56.09165967,20.60515412,"Asia",18256
2019-12-26,"Pakistan",0,0,0,0,0,0,0,0,0,0,0,0,0,69.33958027,29.94975221,"Asia",18256
2019-12-26,"Palau",0,0,0,0,0,0,0,0,0,0,0,0,0,134.4082215,7.28760993,"Oceania",18256
2019-12-26,"Palestine",0,0,0,0,0,0,0,0,0,0,0,0,0,35.233154,31.952162,"Asia",18256
2019-12-26,"Panama",0,0,0,0,0,0,0,0,0,0,0,0,0,-80.11915152,8.5175119,"North America",18256
2019-12-26,"Papua New Guinea",0,0,0,0,0,0,0,0,0,0,0,0,0,145.2074492,-6.46416276,"Oceania",18256
2019-12-26,"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,-58.40014084,-23.22823896,"South America",18256
2019-12-26,"Peru",0,0,0,0,0,0,0,0,0,0,0,0,0,-74.38242889,-9.15280281,"South America",18256
2019-12-26,"Philippines",0,0,0,0,0,0,0,0,0,0,0,0,0,122.8839215,11.77539737,"Asia",18256
2019-12-26,"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,19.39011841,52.12759537,"Europe",18256
2019-12-26,"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,-8.50105506,39.59550247,"Europe",18256
2019-12-26,"Puerto Rico",0,0,0,0,0,0,0,0,0,0,0,0,0,-66.47307314,18.22812711,"North America",18256
2019-12-26,"Qatar",0,0,0,0,0,0,0,0,0,0,0,0,0,51.18478512,25.30600936,"Asia",18256
2019-12-26,"Republic of the Congo",0,0,0,0,0,0,0,0,0,0,0,0,0,15.21965722,-0.83788172,"Africa",18256
2019-12-26,"Reunion",0,0,0,0,0,0,0,0,0,0,0,0,0,55.448101,-20.878901,"Africa",18256
2019-12-26,"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,24.97293286,45.85242939,"Europe",18256
2019-12-26,"Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,96.68657347,61.98052168,"Europe",18256
2019-12-26,"Rwanda",0,0,0,0,0,0,0,0,0,0,0,0,0,29.91989113,-1.99033199,"Africa",18256
2019-12-26,"Saint Barthelemy",0,0,0,0,0,0,0,0,0,0,0,0,0,-62.84068712,17.89881045,"North America",18256
2019-12-26,"Saint Kitts and Nevis",0,0,0,0,0,0,0,0,0,0,0,0,0,-62.68754242,17.26458594,"North America",18256
2019-12-26,"Saint Lucia",0,0,0,0,0,0,0,0,0,0,0,0,0,-60.96969329,13.8947837,"North America",18256
2019-12-26,"Saint Martin",0,0,0,0,0,0,0,0,0,0,0,0,0,-63.05971623,18.08889331,"North America",18256
2019-12-26,"Saint Vincent and the Grenadines",0,0,0,0,0,0,0,0,0,0,0,0,0,-61.20129438,13.22471841,"North America",18256
2019-12-26,"Saudi Arabia",0,0,0,0,0,0,0,0,0,0,0,0,0,44.53687041,24.12245467,"Asia",18256
2019-12-26,"Senegal",0,0,0,0,0,0,0,0,0,0,0,0,0,-14.47348904,14.36624381,"Africa",18256
