"rowid","type","group","term","contrast","dydx","std.error","statistic","p.value","conf.low","conf.high","predicted","predicted_hi","predicted_lo","region"
5,"link","Omicron (BA.4.6*)","date_num","mean(dY/dX)",-0.162956573046581,0.00345889685950729,-47.1122961063932,0,-0.169735886317454,-0.156177259775708,-470.045485550141,-470.065447730339,-470.045485550141,"Africa"
6,"link","Omicron (BA.4.6*)","date_num","mean(dY/dX)",-0.120397444244209,0.00210693431960537,-57.1434254612927,0,-0.124526959628427,-0.116267928859991,-458.089485263421,-458.104233950341,-458.089485263421,"South America"
1,"link","Omicron (BA.5*)","date_num","mean(dY/dX)",-0.0619997160272909,0.000725818414286698,-85.4204230795404,0,-0.0634222939786088,-0.060577138075973,-382.296065977255,-382.303660942468,-382.296065977255,"Asia"
2,"link","Omicron (BA.5*)","date_num","mean(dY/dX)",-0.090170863649992,0.000311850663761106,-289.147576479322,0,-0.0907820797195186,-0.0895596475804653,-9.74927940096119,-9.76032533175831,-9.74927940096119,"Europe"
3,"link","Omicron (BA.5*)","date_num","mean(dY/dX)",-0.0896519382812195,0.00126207773768337,-71.0351950631675,0,-0.0921255651927687,-0.0871783113696703,-813.955946087432,-813.966928449871,-813.955946087432,"Oceania"
4,"link","Omicron (BA.5*)","date_num","mean(dY/dX)",-0.0785853248135955,0.000317475683574546,-247.531791817192,0,-0.0792075657193688,-0.0779630839078221,-531.041794484418,-531.051421186708,-531.041794484418,"North America"
5,"link","Omicron (BA.5*)","date_num","mean(dY/dX)",-0.116731871395243,0.00259607323923746,-44.9647835935209,0,-0.121820081445377,-0.111643661345109,-446.673306849884,-446.68760650413,-446.673306849884,"Africa"
6,"link","Omicron (BA.5*)","date_num","mean(dY/dX)",-0.145887357873144,0.00209715946951949,-69.5642653758565,0,-0.14999771490324,-0.141777000843049,-353.446918026931,-353.46478922827,-353.446918026931,"South America"
1,"link","Omicron (BA.5.2*)","date_num","mean(dY/dX)",-0.062005884149826,0.000722250270578692,-85.8509670064156,0,-0.0634214686679846,-0.0605902996316675,-416.086389006803,-416.093984727612,-416.086389006803,"Asia"
2,"link","Omicron (BA.5.2*)","date_num","mean(dY/dX)",-0.0973992803442436,0.00032358522663879,-301.000392867032,0,-0.0980334957343848,-0.0967650649541023,-10.1231936476838,-10.135125059526,-10.1231936476838,"Europe"
3,"link","Omicron (BA.5.2*)","date_num","mean(dY/dX)",-0.0846041946789803,0.00133394151999168,-63.424215687887,0,-0.0872186720156466,-0.081989717342314,-884.363280303602,-884.37364431745,-884.363280303602,"Oceania"
4,"link","Omicron (BA.5.2*)","date_num","mean(dY/dX)",-0.0801328401746791,0.00031001615945377,-258.479558987726,0,-0.080740460681834,-0.0795252196675243,-547.918925808803,-547.928742081724,-547.918925808803,"North America"
5,"link","Omicron (BA.5.2*)","date_num","mean(dY/dX)",-0.136982720835718,0.00250748674033525,-54.6294896129353,0,-0.141897304538486,-0.132068137132949,-478.177268907265,-478.194049290567,-478.177268907265,"Africa"
6,"link","Omicron (BA.5.2*)","date_num","mean(dY/dX)",-0.163633044465834,0.00207414800280256,-78.8916915498483,0,-0.167698299849932,-0.159567789081735,-359.709895744515,-359.729940792462,-359.709895744515,"South America"
1,"link","Omicron (BF.7*)","date_num","mean(dY/dX)",-0.0358391864387047,0.000735293025171086,-48.7413659749673,0,-0.0372803342861235,-0.0343980385912859,-431.109707865778,-431.114098166116,-431.109707865778,"Asia"
2,"link","Omicron (BF.7*)","date_num","mean(dY/dX)",-0.0892906178633819,0.000360366108463506,-247.777512275198,0,-0.0899969224572192,-0.0885843132695446,-8.05035024760713,-8.06128834829539,-8.05035024760713,"Europe"
3,"link","Omicron (BF.7*)","date_num","mean(dY/dX)",-0.085304060268977,0.00160542989564307,-53.1347151940306,0,-0.0884506450441413,-0.0821574754938127,-704.164109809051,-704.174559556434,-704.164109809051,"Oceania"
4,"link","Omicron (BF.7*)","date_num","mean(dY/dX)",-0.0732576704668107,0.000362927598385449,-201.852024460832,0,-0.0739689954886418,-0.0725463454449796,-472.657836491403,-472.666810556035,-472.657836491403,"North America"
5,"link","Omicron (BF.7*)","date_num","mean(dY/dX)",-0.0938358431790684,0.00470372354073947,-19.949268354389,1.52097759907388e-88,-0.103054971912151,-0.0846167144459859,-643.266577288069,-643.278072178859,-643.266577288069,"Africa"
6,"link","Omicron (BF.7*)","date_num","mean(dY/dX)",-0.11992750845245,0.00326502562634086,-36.7309547235786,2.34183297054246e-295,-0.126326841088679,-0.113528175816222,-486.545799231888,-486.560490351674,-486.545799231888,"South America"
1,"link","Omicron (BA.2.76*)","date_num","mean(dY/dX)",-0.247928255108416,0.00122040493455387,-203.152452181004,0,-0.250320204826697,-0.245536305390136,-313.972983062232,-314.003354273483,-313.972983062232,"Asia"
2,"link","Omicron (BA.2.76*)","date_num","mean(dY/dX)",-0.172046468003489,0.00262373814626986,-65.5730329827637,0,-0.177188900275042,-0.166904035731936,-33.2123839241431,-33.2334596164735,-33.2123839241431,"Europe"
3,"link","Omicron (BA.2.76*)","date_num","mean(dY/dX)",-0.153302065153147,0.00318516570051752,-48.1300125542099,0,-0.159544875210954,-0.14705925509534,-865.164656685514,-865.183436188495,-865.164656685514,"Oceania"
4,"link","Omicron (BA.2.76*)","date_num","mean(dY/dX)",-0.169279499674043,0.00189515396701918,-89.3222939243808,0,-0.172993933194559,-0.165565066153528,-573.454566705222,-573.475303443932,-573.454566705222,"North America"
5,"link","Omicron (BA.2.76*)","date_num","mean(dY/dX)",-0.689470435445029,0.0014292477304393,-482.400930756146,0,-0.692271709521676,-0.686669161368383,559.738704194016,559.654244065674,559.738704194016,"Africa"
6,"link","Omicron (BA.2.76*)","date_num","mean(dY/dX)",-0.571209067580101,0.00133654562439114,-427.377155823105,0,-0.573828648867602,-0.5685894862926,175.133860835018,175.063887724239,175.133860835018,"South America"
1,"link","Omicron (BA.2.75*)","date_num","mean(dY/dX)",-0.070099748273253,0.00110855706328298,-63.2351284341227,0,-0.0722724801920951,-0.0679270163544109,-599.693852199078,-599.702439418242,-599.693852199078,"Asia"
2,"link","Omicron (BA.2.75*)","date_num","mean(dY/dX)",-0.11210147351068,0.000765877981716805,-146.36988683157,0,-0.113602566771398,-0.110600380249963,-15.3376723695548,-15.3514048000598,-15.3376723695548,"Europe"
3,"link","Omicron (BA.2.75*)","date_num","mean(dY/dX)",-0.0990578040366054,0.00160127169851588,-61.8619589220342,0,-0.10219623889516,-0.095919369178051,-931.190139823429,-931.202274404424,-931.190139823429,"Oceania"
4,"link","Omicron (BA.2.75*)","date_num","mean(dY/dX)",-0.0924722955961461,0.00080497376780011,-114.876160311237,0,-0.0940500151895338,-0.0908945760027584,-612.568646585505,-612.579974441716,-612.568646585505,"North America"
5,"link","Omicron (BA.2.75*)","date_num","mean(dY/dX)",-0.234254998108044,0.00654110023275642,-35.8127822189523,6.98560493121815e-281,-0.247075318983513,-0.221434677232574,-47.1704259790392,-47.1991222163074,-47.1704259790392,"Africa"
6,"link","Omicron (BA.2.75*)","date_num","mean(dY/dX)",-0.196914691518802,0.00878235308053249,-22.4216323020872,2.42141204377507e-111,-0.21412778725616,-0.179701595781444,-132.189471736617,-132.213593786328,-132.189471736617,"South America"
1,"link","Omicron (BQ.1.1*)","date_num","mean(dY/dX)",-0.0582476520910822,0.000746976597512534,-77.9778808132002,0,-0.059711699319501,-0.0567836048626634,-265.112581059651,-265.119716397033,-265.112581059651,"Asia"
2,"link","Omicron (BQ.1.1*)","date_num","mean(dY/dX)",-0.0736122427913786,0.00028850167765774,-255.153603920139,0,-0.0741776956890672,-0.07304678989369,-5.02684757775457,-5.03586507749651,-5.02684757775457,"Europe"
3,"link","Omicron (BQ.1.1*)","date_num","mean(dY/dX)",-0.0583731068839982,0.00124611020484635,-46.8442571587765,0,-0.0608154380062649,-0.0559307757617316,-803.143400470454,-803.150551176047,-803.143400470454,"Oceania"
4,"link","Omicron (BQ.1.1*)","date_num","mean(dY/dX)",-0.0560866481733609,0.000253880075663425,-220.917880329122,0,-0.0565842439780535,-0.0555890523686683,-457.118286034686,-457.125156649088,-457.118286034686,"North America"
5,"link","Omicron (BQ.1.1*)","date_num","mean(dY/dX)",-0.0826075120789473,0.00254912099353647,-32.4062734912961,2.23937595535096e-230,-0.0876036974185138,-0.0776113267393809,-485.696632237632,-485.706751657862,-485.696632237632,"Africa"
6,"link","Omicron (BQ.1.1*)","date_num","mean(dY/dX)",-0.0878967734191677,0.00195962603998027,-44.8538504928485,0,-0.0917375698806959,-0.0840559769576395,-350.692232455444,-350.702999810188,-350.692232455444,"South America"
1,"link","Omicron (BQ.1*)","date_num","mean(dY/dX)",-0.0523407375623014,0.000775218998560806,-67.517356591456,0,-0.0538601388796118,-0.050821336244991,-369.618462298604,-369.624874038955,-369.618462298604,"Asia"
2,"link","Omicron (BQ.1*)","date_num","mean(dY/dX)",-0.083337502299201,0.000315097745770971,-264.481429707767,0,-0.0839550825325218,-0.0827199220658801,-7.48621419234217,-7.49642303637383,-7.48621419234217,"Europe"
3,"link","Omicron (BQ.1*)","date_num","mean(dY/dX)",-0.0697801416088029,0.00139332243365748,-50.0818331228828,0,-0.0725110033976233,-0.0670492798199826,-815.214268052286,-815.222816119633,-815.214268052286,"Oceania"
4,"link","Omicron (BQ.1*)","date_num","mean(dY/dX)",-0.06640668664436,0.000278481458999774,-238.459992571405,0,-0.0669525002743617,-0.0658608730143583,-441.541420498892,-441.549555318006,-441.541420498892,"North America"
5,"link","Omicron (BQ.1*)","date_num","mean(dY/dX)",-0.089649338133313,0.00315365210109227,-28.4271489877602,9.34066187363552e-178,-0.0958303826712229,-0.0834682935954031,-622.717159016305,-622.728141060226,-622.717159016305,"Africa"
6,"link","Omicron (BQ.1*)","date_num","mean(dY/dX)",-0.0822919664067146,0.00237922889780278,-34.5876626173762,3.87276658618043e-262,-0.086955169357385,-0.0776287634560442,-503.201320690862,-503.211401456747,-503.201320690862,"South America"
1,"link","Omicron (BR.2.1*)","date_num","mean(dY/dX)",-0.0687303977315423,0.00176881120271291,-38.8568308625179,0,-0.0721972039843106,-0.065263591478774,-52.78585184575,-52.7942713194721,-52.78585184575,"Asia"
2,"link","Omicron (BR.2.1*)","date_num","mean(dY/dX)",-0.057975445222104,0.00118629535721529,-48.8710040627617,0,-0.060300541397273,-0.0556503490469349,-8.6127712621481,-8.61987325418781,-8.6127712621481,"Europe"
