"date_num","region","prob","SE","df","asymp.LCL","asymp.UCL","date"
18962,"South East",0.00519444009829096,0.000981784701687718,189,0.0035766728593502,0.00753840479218768,2021-12-01
18963,"South East",0.00827409789434428,0.00137035721889714,189,0.00596570755456052,0.0114654017783088,2021-12-02
18964,"South East",0.0131268788675827,0.00187432648556058,189,0.00989987689315872,0.0173872945004502,2021-12-03
18965,"South East",0.0206767733792709,0.00250000406751593,189,0.016280215666218,0.0262289871650165,2021-12-04
18966,"South East",0.0322194594702681,0.00323732314184679,189,0.0264103423033745,0.0392548091797051,2021-12-05
18967,"South East",0.0494614177481056,0.00406017169357434,189,0.042039884123205,0.0581136360769031,2021-12-06
18968,"South East",0.0744501481531251,0.00494679427093183,189,0.0652612240900225,0.0848154954037197,2021-12-07
18969,"South East",0.109300486970936,0.00592801182920368,189,0.0981438922747143,0.121554381596587,2021-12-08
18970,"South East",0.155646455370121,0.00712309567990476,189,0.142106853815961,0.170220116444185,2021-12-09
18971,"South East",0.21387968435169,0.00865275699973007,189,0.197306897579081,0.231443133059754,2021-12-10
18972,"South East",0.282469135194654,0.0104236761190327,189,0.26236827081653,0.303476407495429,2021-12-11
18973,"South East",0.357819715632183,0.0120431217451526,189,0.334428182007928,0.381908554122845,2021-12-12
18974,"South East",0.434973371734903,0.0130176595379648,189,0.409491106032028,0.460803944045276,2021-12-13
18975,"South East",0.509376055121593,0.0130853389136703,189,0.483561925574074,0.53514028042804,2021-12-14
18976,"South East",0.577998547868814,0.0123339987437828,189,0.553498257322233,0.602120860867477,2021-12-15
18977,"South East",0.639173378279987,0.0110713333146328,189,0.617059203885801,0.660712680516864,2021-12-16
18978,"South East",0.692399152119062,0.00969134710239833,189,0.672959382218402,0.711179323363868,2021-12-17
18979,"South East",0.73798295322072,0.00856320391107883,189,0.720743787215585,0.754520366978934,2021-12-18
18980,"South East",0.776682498264898,0.00792752137705142,189,0.760655770009085,0.791929615418789,2021-12-19
18981,"South East",0.809434782128428,0.00780765792166861,189,0.793556034155424,0.824362522567854,2021-12-20
18982,"South East",0.837184832094546,0.0080346181108844,189,0.820708363020729,0.852419428910066,2021-12-21
18983,"South East",0.860794433788928,0.00838715734185268,189,0.843411658090701,0.876530046559258,2021-12-22
18984,"South East",0.881003779844176,0.00869629065349967,189,0.862752369721041,0.897117517974301,2021-12-23
18985,"South East",0.898423752426149,0.00886350919620128,189,0.879557158617778,0.914621888285743,2021-12-24
18986,"South East",0.913514831125821,0.0088483555297507,189,0.894391286788411,0.929448657321074,2021-12-25
18987,"South East",0.926547149415982,0.00866385988799249,189,0.907518549372962,0.941911112525608,2021-12-26
18988,"South East",0.937749470034231,0.00834194957595399,189,0.919118385671523,0.952311556378833,2021-12-27
18989,"South East",0.947340420260031,0.00791745784820876,189,0.929349598685748,0.960942492673123,2021-12-28
18990,"South East",0.955523775470002,0.00742305912628905,189,0.938356116185482,0.968072962718825,2021-12-29
18991,"South East",0.962485787275631,0.00688703636328824,189,0.946269483105536,0.973942651333363,2021-12-30
18992,"South East",0.968394059121677,0.00633256625888875,189,0.953209992151924,0.978760460396012,2021-12-31
18993,"South East",0.973397531193892,0.00577780681496715,189,0.959287303719164,0.982705593464509,2022-01-01
18994,"South East",0.977627213427267,0.00523638242039077,189,0.964600924752524,0.985929957318498,2022-01-02
18995,"South East",0.981197384095424,0.00471803396716662,189,0.969240694530472,0.988561148061248,2022-01-03
18996,"South East",0.984207042867908,0.00422930223084462,189,0.973287323781076,0.99070558087917,2022-01-04
18997,"South East",0.98674146733387,0.00377417337651398,189,0.976812988806099,0.992451509418992,2022-01-05
18998,"South East",0.988873769934029,0.00335465214696543,189,0.979881964751396,0.993871800076419,2022-01-06
18999,"South East",0.99066638887446,0.0029712501420459,189,0.982551277519362,0.995026401293843,2022-01-07
19000,"South East",0.992172473560942,0.0026233891053532,189,0.984871354991506,0.995964493341982,2022-01-08
19001,"South East",0.993437144251083,0.00230972577785487,189,0.986886661691035,0.996726330187062,2022-01-09
