"date_num","country","prob","SE","df","asymp.LCL","asymp.UCL","date"
18907,"Scotland",2.80865340616477e-09,1.72577502576144e-09,122,8.32219923893265e-10,9.47890538600629e-09,2021-10-07
18908,"Scotland",3.69312187711219e-09,2.23173176846502e-09,122,1.11651430514575e-09,1.22158301557314e-08,2021-10-08
18909,"Scotland",4.85611687275793e-09,2.8852241440302e-09,122,1.49791661268888e-09,1.57431132711786e-08,2021-10-09
18910,"Scotland",6.38534872607224e-09,3.72900435366878e-09,122,2.00959248354435e-09,2.02890278994087e-08,2021-10-10
18911,"Scotland",8.39614848700327e-09,4.8181223253439e-09,122,2.6960330655927e-09,2.61477907915544e-08,2021-10-11
18912,"Scotland",1.10401659165969e-08,6.22343234329003e-09,122,3.61692178650858e-09,3.36986168912147e-08,2021-10-12
18913,"Scotland",1.451680655162e-08,8.03608905113084e-09,122,4.85232102003316e-09,4.34302816179358e-08,2021-10-13
18914,"Scotland",1.90882703954323e-08,1.03733083596929e-08,122,6.50962905924956e-09,5.59727834745477e-08,2021-10-14
18915,"Scotland",2.50993264165212e-08,1.33857442726658e-08,122,8.73291145060443e-09,7.21381604294843e-08,2021-10-15
18916,"Scotland",3.30033141987199e-08,1.7266928367111e-08,122,1.1715416772618e-08,9.29731077525271e-08,2021-10-16
18917,"Scotland",4.33963337227795e-08,2.22653399056091e-08,122,1.57163632096587e-08,1.19826811307878e-07,2021-10-17
18918,"Scotland",5.70622017860354e-08,2.86998279058358e-08,122,2.10834527009964e-08,1.54438398630998e-07,2021-10-18
18919,"Scotland",7.50315655570794e-08,3.69793001738195e-08,122,2.82830661092647e-08,1.99049684825174e-07,2021-10-19
18920,"Scotland",9.86596314526903e-08,4.76278385454607e-08,122,3.79407587326107e-08,2.56550534509174e-07,2021-10-20
18921,"Scotland",1.29728371435225e-07,6.1316707058904e-08,122,5.08955681818272e-08,3.30666281986464e-07,2021-10-21
18922,"Scotland",1.70580914835971e-07,7.89051061740055e-08,122,6.82728433405243e-08,4.26199387949043e-07,2021-10-22
18923,"Scotland",2.24298261128387e-07,1.01492010772135e-07,122,9.15819072332188e-08,5.49341041142663e-07,2021-10-23
18924,"Scotland",2.94931640755675e-07,1.30482036195867e-07,122,1.22847016675007e-07,7.08072968354637e-07,2021-10-24
18925,"Scotland",3.8780804784858e-07,1.67669033951131e-07,122,1.64782963121946e-07,9.1268559400566e-07,2021-10-25
18926,"Scotland",5.09931986924482e-07,2.15342062045151e-07,122,2.21030520680715e-07,1.17644627672651e-06,2021-10-26
18927,"Scotland",6.70513731551185e-07,2.76419546742052e-07,122,2.96472121497998e-07,1.51646114232683e-06,2021-10-27
18928,"Scotland",8.81663933606579e-07,3.54618903763434e-07,122,3.97655071149158e-07,1.95478667388501e-06,2021-10-28
18929,"Scotland",1.15930696652144e-06,4.54670678376813e-07,122,5.33358903301472e-07,2.51986354215739e-06,2021-10-29
18930,"Scotland",1.5243818805418e-06,5.82588467123923e-07,122,7.15355911428138e-07,3.24836623905581e-06,2021-10-30
18931,"Scotland",2.0044215360386e-06,7.46008582975935e-07,122,9.59430552496697e-07,4.18758930576319e-06,2021-10-31
18932,"Scotland",2.63562899695262e-06,9.54616717253201e-07,122,1.28674571969065e-06,5.39852612736229e-06,2021-11-01
18933,"Scotland",3.46560775959633e-06,1.22068284581233e-06,122,1.72567373455831e-06,6.95984173183995e-06,2021-11-02
18934,"Scotland",4.55695168710369e-06,1.5597304467461e-06,122,2.31424985972188e-06,8.97299980797585e-06,2021-11-03
18935,"Scotland",5.99196532973234e-06,1.99137187635119e-06,122,3.10345958039378e-06,1.1568880166729e-05,2021-11-04
18936,"Scotland",7.8788705154749e-06,2.54034863150236e-06,122,4.16164238045031e-06,1.49163212052655e-05,2021-11-05
18937,"Scotland",1.03599671055555e-05,3.23782335434465e-06,122,5.58039028947004e-06,1.92331492045251e-05,2021-11-06
18938,"Scotland",1.36223630480581e-05,4.12297994810376e-06,122,7.48244714594257e-06,2.48004210983815e-05,2021-11-07
18939,"Scotland",1.79120823915791e-05,5.24499919264103e-06,122,1.00322850055096e-05,3.19808208876473e-05,2021-11-08
18940,"Scotland",2.35526142606071e-05,6.66548986649175e-06,122,1.34502616213955e-05,4.12424267249776e-05,2021-11-09
18941,"Scotland",3.09692999985997e-05,8.46146964532953e-06,122,1.80315662498445e-05,5.31894249142959e-05,2021-11-10
18942,"Scotland",4.07213947363639e-05,1.0729005947767e-05,122,2.41715650488417e-05,6.86018135626898e-05,2021-11-11
18943,"Scotland",5.35442162708745e-05,1.35876443822405e-05,122,3.23996947982346e-05,8.8486745045758e-05,2021-11-12
18944,"Scotland",7.04045511677848e-05,1.71857714508965e-05,122,4.34247675525733e-05,0.000114144945702387,2021-11-13
