"variant","date_num","prob","SE","df","asymp.LCL","asymp.UCL","date","totcases","cases","smoothed_totcases","smoothed_cases"
"Beta",18849,0.0109616704816509,0.000821632943689622,NA,0.00935129950350762,0.0125720414597942,2021-08-10,6566,71.9743283825198,10916.163177623,119.659383677034
"Alpha",18849,0.00144102150943645,0.000341521316561829,NA,0.000771652029022566,0.00211039098985034,2021-08-10,6566,9.46174723095975,10916.163177623,15.7304259394729
"C.1.2",18849,0.0254569580341271,0.00198211334679254,NA,0.0215720872611376,0.0293418288071167,2021-08-10,6566,167.150386452079,10916.163177623,277.892307906432
"Other",18849,0.0158695796530247,0.00101982836988506,NA,0.0138707527776378,0.0178684065284116,2021-08-10,6566,104.19966000176,10916.163177623,173.234921052703
"Omicron",18849,4.56121190309454e-10,6.92873964472207e-10,NA,-9.01886825881556e-10,1.81412920650046e-09,2021-08-10,6566,NA,10916.163177623,NA
"Delta",18852,0.947731204596271,0.00239888773201289,NA,0.94302947103857,0.952432938153971,2021-08-13,13920,13192.4183679801,11321.5111116803,10729.7493637228
"Beta",18852,0.00961694981384459,0.000757631084750295,NA,0.008132020174166,0.0111018794535232,2021-08-13,13920,133.867941408717,11321.5111116803,108.878404177913
"Alpha",18852,0.00124271337820986,0.000311525546809033,NA,0.00063213452620001,0.00185329223021971,2021-08-13,13920,17.2985702246813,11321.5111116803,14.0693933200367
"C.1.2",18852,0.0258252601642583,0.00200964895018034,NA,0.0218864206003361,0.0297640997281805,2021-08-13,13920,359.487621486475,11321.5111116803,292.380969911684
"Other",18852,0.0155838711966425,0.00101495973946446,NA,0.013594586661534,0.017573155731751,2021-08-13,13920,216.927487057264,11321.5111116803,176.432970915782
"Omicron",18852,8.50773997373997e-10,1.25569133265575e-09,NA,-1.61033579033037e-09,3.31188378507837e-09,2021-08-13,13920,NA,11321.5111116803,NA
"Delta",18855,0.948917219376752,0.00240261927436272,NA,0.94420817213044,0.953626266623065,2021-08-16,7983,7575.20616228461,11575.1272058763,10983.8375221323
"Beta",18855,0.00846482129699283,0.000701055521239398,NA,0.00709077772420066,0.00983886486978501,2021-08-16,7983,67.5746684138938,11575.1272058763,97.9813832877029
"Alpha",18855,0.00107355841979823,0.000284244889957833,NA,0.000516448672691328,0.00163066816690513,2021-08-16,7983,8.57021686524928,11575.1272058763,12.4265752721041
"C.1.2",18855,0.0261718295127124,0.00203322554498704,NA,0.022186780672091,0.0301568783533338,2021-08-16,7983,208.929714999983,11575.1272058763,302.942255820154
"Other",18855,0.0153725697980343,0.00101699192662416,NA,0.013379302249283,0.0173658373467857,2021-08-16,7983,122.719224697708,11575.1272058763,177.939450893459
"Omicron",18855,1.59570998017496e-09,2.28595151868553e-09,NA,-2.88467266685332e-09,6.07609262720324e-09,2021-08-16,7983,NA,11575.1272058763,NA
"Delta",18858,0.949867464082155,0.00241156714635495,NA,0.945140879329,0.954594048835311,2021-08-19,13672,12986.5879689312,11536.7500187133,10958.3834840249
"Beta",18858,0.00747473634880993,0.000650886925169016,NA,0.00619902141747064,0.00875045128014922,2021-08-19,13672,102.194595360929,11536.7500187133,86.2341647120098
"Alpha",18858,0.000929030039977456,0.000259430939869019,NA,0.000420554741358803,0.00143750533859611,2021-08-19,13672,12.7016987065718,11536.7500187133,10.7179873310951
"C.1.2",18858,0.0264972735354306,0.00205396991180182,NA,0.0224715664829701,0.0305229805878911,2021-08-19,13672,362.270723776407,11536.7500187133,305.69242095573
"Other",18858,0.0152314929844228,0.00102618743004619,NA,0.0132202025801445,0.017242783388701,2021-08-19,13672,208.244972083028,11536.7500187133,175.721926973071
"Omicron",18858,3.00920373106291e-09,4.17956475858384e-09,NA,-5.18259266681425e-09,1.12010001289401e-08,2021-08-19,13672,NA,11536.7500187133,NA
"Delta",18861,0.950613819860925,0.00242627221957569,NA,0.945858413693867,0.955369226027984,2021-08-22,10748,10217.1973358652,11155.1533012656,10604.2428908503
"Beta",18861,0.0066213440048528,0.000606248983273071,NA,0.00543311783197356,0.00780957017773205,2021-08-22,10748,71.1662053641579,11155.1533012656,73.8621074345486
"Alpha",18861,0.000805332285529968,0.000236857367945424,NA,0.000341100374883985,0.00126956419617595,2021-08-22,10748,8.6557114048761,11155.1533012656,8.98360510354535
"C.1.2",18861,0.0268021306866784,0.00207343161613465,NA,0.0227382793946478,0.030865981978709,2021-08-22,10748,288.06930062042,11155.1533012656,298.981876610451
"Other",18861,0.0151573674570101,0.00104287927883865,NA,0.0131133616302632,0.0172013732837569,2021-08-22,10748,162.911385427944,11155.1533012656,169.082757626561
"Omicron",18861,5.70500364672344e-09,7.6734989924823e-09,NA,-9.33477801394627e-09,2.07447853073931e-08,2021-08-22,10748,NA,11155.1533012656,NA
"Delta",18864,0.951182510304678,0.0024479113277997,NA,0.946384692264843,0.955980328344513,2021-08-25,13251,12604.1194440473,10484.2786151723,9972.46245191325
"Beta",18864,0.00588356376588961,0.000566390837094856,NA,0.0047734581240102,0.00699366940776902,2021-08-25,13251,77.9631034618032,10484.2786151723,61.6849217717191
"Alpha",18864,0.00069927975931256,0.000216318046888115,NA,0.000275304178205808,0.00112325534041931,2021-08-25,13251,9.26615609065074,10484.2786151723,7.33144382658352
"C.1.2",18864,0.0270868857464279,0.0020935634343932,NA,0.0229835768156672,0.0311901946771885,2021-08-25,13251,358.928323025915,10484.2786151723,283.986456982889
"Other",18864,0.0151477495516003,0.0010674715501355,NA,0.0130555437588136,0.017239955344387,2021-08-25,13251,200.722829308256,10484.2786151723,158.813226691829
"Omicron",18864,1.08720914381009e-08,1.41438195325279e-08,NA,-1.68492854494879e-08,3.85934683256896e-08,2021-08-25,13251,NA,10484.2786151723,NA
"Delta",18867,0.951595013568977,0.00247820166491424,NA,0.946737827559318,0.956452199578637,2021-08-28,10173,9680.57607303721,9599.59214445216,9134.9240169566
"Beta",18867,0.00524382782409355,0.000530670529720514,NA,0.00420373269818455,0.00628392295000255,2021-08-28,10173,53.3454604545037,9599.59214445216,50.3386083870281
"Alpha",18867,0.000608196995539513,0.000197625368043186,NA,0.000220858391743395,0.000995535599335631,2021-08-28,10173,6.18718803562347,9599.59214445216,5.83844310066052
"C.1.2",18867,0.027351982445905,0.00211668153961995,NA,0.0232033628615091,0.0315006020303008,2021-08-28,10173,278.251717422191,9599.59214445216,262.567875822903
"Other",18867,0.0152009583413488,0.00110044114694969,NA,0.0130441333262214,0.0173577833564761,2021-08-28,10173,154.639349206541,9599.59214445216,145.923000281756
"Omicron",18867,2.08241357884004e-08,2.61672169150049e-08,NA,-3.04626669406565e-08,7.21109385174573e-08,2021-08-28,10173,NA,9599.59214445216,NA
"Delta",18870,0.951868809289685,0.00251928384878364,NA,0.946931103679235,0.956806514900134,2021-08-31,7086,6744.94238262671,8582.19730390932,8169.12592876131
"Beta",18870,0.00468746194120147,0.000498539854549003,NA,0.00371034178142758,0.00566458210097535,2021-08-31,7086,33.2153553153536,8582.19730390932,40.2287232339568
"Alpha",18870,0.000529834383958176,0.000180608705592228,NA,0.000175847825703011,0.000883820942213341,2021-08-31,7086,3.75440644472763,8582.19730390932,4.54714322152431
"C.1.2",18870,0.0275978337216701,0.00214539583254574,NA,0.0233929351572982,0.0318027322860421,2021-08-31,7086,195.558249751755,8582.19730390932,236.850054159855
"Other",18870,0.0153160205805423,0.00114234133573192,NA,0.0130770727044564,0.0175549684566282,2021-08-31,7086,108.529321833723,8582.19730390932,131.44511053295
"Omicron",18870,4.0082943255696e-08,4.85810133119342e-08,NA,-5.51340931681559e-08,1.35299979679548e-07,2021-08-31,7086,NA,8582.19730390932,NA
"Delta",18873,0.952017988508835,0.00257358197885954,NA,0.946973860519009,0.957062116498661,2021-09-03,9198,8756.66145830426,7508.54797960516,7148.27274416578
"Beta",18873,0.00420217948635377,0.000469530788530497,NA,0.0032819160512013,0.00512244292150623,2021-09-03,9198,38.651646915482,7508.54797960516,31.5522662921998
"Alpha",18873,0.000462298056687385,0.000165112999888945,NA,0.000138682523525687,0.000785913589849083,2021-09-03,9198,4.25221752541057,7508.54797960516,3.47118713951545
"C.1.2",18873,0.027824829899821,0.00218250311672867,NA,0.0235472023948864,0.0321024574047556,2021-09-03,9198,255.932785418554,7508.54797960516,208.924070327158
"Other",18873,0.0154926265251608,0.00119380738270314,NA,0.0131528070505846,0.017832445999737,2021-09-03,9198,142.501178778429,7508.54797960516,116.327129594273
"Omicron",18873,7.75231421371404e-08,9.0487394371001e-08,NA,-9.9828891884894e-08,2.54875176159175e-07,2021-09-03,9198,NA,7508.54797960516,NA
"Delta",18876,0.952053749545933,0.00264364474200458,NA,0.946872301063685,0.95723519802818,2021-09-06,4118,3920.55734063015,6442.55417734239,6133.65786119164
"Beta",18876,0.00377766765693976,0.000443243547333014,NA,0.00290892626778728,0.00464640904609224,2021-09-06,4118,15.5564354112779,6442.55417734239,24.3378285438285
"Alpha",18876,0.000403991488560775,0.000150997443570375,NA,0.000108041937405221,0.000699941039716329,2021-09-06,4118,1.66363694989327,6442.55417734239,2.60273705223799
"C.1.2",18876,0.0280333450674981,0.00223084224924049,NA,0.0236609746037964,0.0324057155311998,2021-09-06,4118,115.441314987957,6442.55417734239,180.606344369491
"Other",18876,0.0157310956076444,0.00125556442649755,NA,0.0132702345514395,0.0181919566638493,2021-09-06,4118,64.7806517122796,6442.55417734239,101.348435721202
"Omicron",18876,1.50633424296545e-07,1.69047773947253e-07,NA,-1.80694124306739e-07,4.8196097289983e-07,2021-09-06,4118,NA,6442.55417734239,NA
"Delta",18879,0.951984797620477,0.00273197961808344,NA,0.946630215962536,0.957339379278419,2021-09-09,6268,5967.04071148515,5430.24129901202,5169.50716407032
"Beta",18879,0.0034052487198773,0.000419336206001431,NA,0.00258336485870082,0.00422713258105377,2021-09-09,6268,21.3440989761909,5430.24129901202,18.4913222320855
"Alpha",18879,0.00035356688374756,0.000138134260516275,NA,8.28287081045873e-05,0.000624305059390532,2021-09-09,6268,2.2161572273297,5430.24129901202,1.91995349408898
"C.1.2",18879,0.0282237418262578,0.00229312086944426,NA,0.0237293075099499,0.0327181761425657,2021-09-09,6268,176.906413766984,5430.24129901202,153.261728477598
"Other",18879,0.0160323509360099,0.00132843752580677,NA,0.0134286612297172,0.0186360406423027,2021-09-09,6268,100.49077566691,5430.24129901202,87.0595341729752
"Omicron",18879,2.94013629842989e-07,3.16672577923544e-07,NA,-3.26653217778611e-07,9.14680477464589e-07,2021-09-09,6268,0.00184287743185585,5430.24129901202,0.00159656495524583
"Delta",18882,0.95181766050816,0.00284089936316583,NA,0.946249600072653,0.957385720943668,2021-09-12,3961,3770.14975327282,4502.87975653876,4285.92047541828
"Beta",18882,0.00307760228509896,0.000397515772077543,NA,0.00229848568854034,0.00385671888165758,2021-09-12,3961,12.190382651277,4502.87975653876,13.8580730282495
"Alpha",18882,0.000309884714612483,0.000126407571138532,NA,6.21304278077755e-05,0.00055763900141719,2021-09-12,3961,1.22745335458004,4502.87975653876,1.39537360828934
"C.1.2",18882,0.0283963745279223,0.00237173512275804,NA,0.0237478591064479,0.0330448899493967,2021-09-12,3961,112.4780395051,4502.87975653876,127.865460020874
"Other",18882,0.0163979015872387,0.0014133636634035,NA,0.0136277597099102,0.0191680434645671,2021-09-12,3961,64.9520881870524,4502.87975653876,73.8377791068918
"Omicron",18882,5.76376967087966e-07,5.94651175419445e-07,NA,-5.89117920098555e-07,1.74187185427449e-06,2021-09-12,3961,0.00228302916663543,4502.87975653876,0.00259535617723561
"Delta",18885,0.951556925481128,0.00297240245428429,NA,0.945731123723172,0.957382727239084,2021-09-15,4666,4439.96461429494,3678.94233230281,3500.72305474843
"Beta",18885,0.00278853723629822,0.000377530567815138,NA,0.00204859092031759,0.00352848355227884,2021-09-15,4666,13.0113147445675,3678.94233230281,10.2588676838202
"Alpha",18885,0.00027198003774307,0.000115712339005471,NA,4.51880207254586e-05,0.000498772054760682,2021-09-15,4666,1.26905885610917,3678.94233230281,1.0005988743943
"C.1.2",18885,0.0285515909370356,0.00246861173484169,NA,0.0237132008449329,0.0333899810291382,2021-09-15,4666,133.221723312208,3678.94233230281,105.039656552854
"Other",18885,0.0168298316240931,0.00151140539119418,NA,0.0138675314913128,0.0197921317568734,2021-09-15,4666,78.5279943580183,3678.94233230281,61.9159800074046
"Omicron",18885,1.13468370207128e-06,1.11899025978966e-06,NA,-1.05849690616758e-06,3.32786431031014e-06,2021-09-15,4666,0.00529443415386459,3678.94233230281,0.0041744359053241
"Delta",18888,0.951205392010941,0.00312810480004303,NA,0.945074419262989,0.957336364758892,2021-09-18,3286,3125.66091814795,2965.98025969077,2821.25641561587
"Beta",18888,0.00253280407645832,0.000359163765157083,NA,0.00182885603219864,0.003236752120718,2021-09-18,3286,8.32279419524204,2965.98025969077,7.51224689243969
"Alpha",18888,0.00023903443599152,0.00010595339410769,NA,3.13695995006698e-05,0.00044669927248237,2021-09-18,3286,0.785467156668134,2965.98025969077,0.708971418537165
"C.1.2",18888,0.0286897319786588,0.00258510063497769,NA,0.0236230278376909,0.0337564361196267,2021-09-18,3286,94.2744592818729,2965.98025969077,85.0931787045211
"Other",18888,0.0173307946117301,0.00162376575707339,NA,0.0141482722085368,0.0205133170149233,2021-09-18,3286,56.948991094145,2965.98025969077,51.4027947031466
"Omicron",18888,2.2428862207562e-06,2.10936863648669e-06,NA,-1.89140033687607e-06,6.37717277838846e-06,2021-09-18,3286,0.00737012412140486,2965.98025969077,0.00665235625549532
"Delta",18891,0.950764115711773,0.00330922979738732,NA,0.944278144492327,0.957250086931219,2021-09-21,2197,2088.82876221877,2363.32131135105,2246.96109672947
"Beta",18891,0.00230594017037317,0.000342227914148335,NA,0.00163518578413817,0.00297669455660817,2021-09-21,2197,5.06615055430986,2363.32131135105,5.44967754734338
"Alpha",18891,0.000210352625871191,9.70445274403729e-05,NA,2.01488471913513e-05,0.000400556404551031,2021-09-21,2197,0.462144719039007,2363.32131135105,0.49713084362004
"C.1.2",18891,0.0288111286788334,0.00272193477137535,NA,0.0234762345586705,0.0341460227989964,2021-09-21,2197,63.2980497073971,2363.32131135105,68.0899544107644
"Other",18891,0.0179040120112096,0.00175180412810725,NA,0.0144705390121508,0.0213374850102684,2021-09-21,2197,39.3351143886275,2363.32131135105,42.3129331447768
"Omicron",18891,4.45080193911939e-06,3.98178003031832e-06,NA,-3.35334351466532e-06,1.22549473929041e-05,2021-09-21,2197,0.00977841186024531,2363.32131135105,0.0105186750753234
"Delta",18894,0.950232282655638,0.00351665194700503,NA,0.943339771493346,0.957124793817931,2021-09-24,2261,2148.4751910844,1870.54198344044,1777.44937872781
"Beta",18894,0.00210414174362492,0.000326560305702354,NA,0.00146409530566792,0.00274418818158192,2021-09-24,2261,4.75746448233594,1870.54198344044,3.93588547055998
"Alpha",18894,0.000185342929356445,8.8907649948088e-05,NA,1.10871375080976e-05,0.000359598721204791,2021-09-24,2261,0.419060363274921,1870.54198344044,0.346691730695065
"C.1.2",18894,0.0289160943061651,0.00287925627025312,NA,0.0232728557142078,0.0345593328981223,2021-09-24,2261,65.3792892262392,1870.54198344044,54.0887683968048
"Other",18894,0.0185532729026081,0.00189705245030497,NA,0.0148351184232269,0.0222714273819893,2021-09-24,2261,41.9489500327969,1870.54198344044,34.7046758945563
"Omicron",18894,8.86546260735734e-06,7.52351621339196e-06,NA,-5.88035820799405e-06,2.36112834227087e-05,2021-09-24,2261,0.0200448109552349,1870.54198344044,0.0165832200096833
"Delta",18897,0.949606780879859,0.00375098096383811,NA,0.942254993284041,0.956958568475677,2021-09-27,578,548.872719348558,1484.10300646901,1409.31427846715
"Beta",18897,0.00192415757009475,0.00031201900570075,NA,0.00131261155642929,0.00253570358376022,2021-09-27,578,1.11216307551477,1484.10300646901,2.85564803469773
"Alpha",18897,0.000163500940752543,8.14720057614789e-05,NA,3.81874371180503e-06,0.000323183137793282,2021-09-27,578,0.0945035437549701,1484.10300646901,0.242652237731361
"C.1.2",18897,0.0290049074991191,0.00305669230668683,NA,0.0230139006661922,0.0349959143320459,2021-09-27,578,16.7648365344908,1484.10300646901,43.0462704217981
"Other",18897,0.0192829304427129,0.0020612312486677,NA,0.0152429914315157,0.0233228694539101,2021-09-27,578,11.1455337958881,1484.10300646901,28.617855043563
"Omicron",18897,1.77226674622032e-05,1.42227509045934e-05,NA,-1.01534120718843e-05,4.55987469962908e-05,2021-09-27,578,0.0102437017931535,1484.10300646901,0.0263022640633063
"Delta",18900,0.948881189455448,0.00401267319784959,NA,0.941016494505934,0.956745884404962,2021-09-30,1678,1592.22263590624,1191.46011971107,1130.55409558017
"Beta",18900,0.00176320006606898,0.000298479378894294,NA,0.00117819123330828,0.00234820889882968,2021-09-30,1678,2.95864971086376,1191.46011971107,2.10078256179312
"Alpha",18900,0.000144395824778146,7.46734238992706e-05,NA,-1.96139666671705e-06,0.000290753046223009,2021-09-30,1678,0.242296193977729,1191.46011971107,0.172041866675949
"C.1.2",18900,0.029077777628995,0.00325345563922901,NA,0.0227011217508074,0.0354544335071826,2021-09-30,1678,48.7925108614537,1191.46011971107,34.6450124147744
"Other",18900,0.0200978859903359,0.00224626405100847,NA,0.0156952893505922,0.0245004826300795,2021-09-30,1678,33.7242526917836,1191.46011971107,23.945829647985
"Omicron",18900,3.55510343740384e-05,2.68869094108827e-05,NA,-1.71463397268828e-05,8.82484084749595e-05,2021-09-30,1678,0.0596546356796364,1191.46011971107,0.0423576396711442
"Delta",18903,0.948043606503791,0.00430217142093327,NA,0.939611505463444,0.956475707544137,2021-10-03,809,766.967277661567,976.969130654978,926.209338069018
"Beta",18903,0.00161886998823047,0.000285830870523074,NA,0.00105865177633551,0.00217908820012542,2021-10-03,809,1.30966582047845,976.969130654978,1.58158600504495
"Alpha",18903,0.00012765876167399,6.84535819150596e-05,NA,-6.50779349228902e-06,0.000261825316840269,2021-10-03,809,0.103275938194258,976.969130654978,0.124718669413129
"C.1.2",18903,0.0291347743676393,0.00346844411045846,NA,0.0223367488287506,0.0359327999065279,2021-10-03,809,23.5700324634202,976.969130654978,28.4637751857815
"Other",18903,0.02100354209177,0.0024542874452284,NA,0.0161932270914136,0.0258138570921265,2021-10-03,809,16.991865552242,976.969130654978,20.5198122580718
"Omicron",18903,7.15482868956201e-05,5.07967456976662e-05,NA,-2.80115052036455e-05,0.000171108078994886,2021-10-03,809,0.0578825640985567,976.969130654978,0.0699004676482669
"Delta",18906,0.947072125080181,0.00462012211411243,NA,0.938016852132344,0.956127398028018,2021-10-06,1149,1088.18587171713,825.914371930343,782.200479358333
"Beta",18906,0.00148909102081064,0.000273973698631908,NA,0.000952112438780873,0.00202606960284041,2021-10-06,1149,1.71096558291143,825.914371930343,1.22986167519994
"Alpha",18906,0.000112973106484369,6.27592349361329e-05,NA,-1.00327336877394e-05,0.000235978946656477,2021-10-06,1149,0.12980609935054,825.914371930343,0.0933061122870573
"C.1.2",18906,0.0291756844029148,0.00370031625926888,NA,0.0219231978033398,0.0364281710024898,2021-10-06,1149,33.5228613789491,825.914371930343,24.0966170592713
"Other",18906,0.0220056842744513,0.00268765060981793,NA,0.0167379858761811,0.0272733826727216,2021-10-06,1149,25.2845312313446,825.914371930343,18.1748109064309
"Omicron",18906,0.000144442115157777,9.58448164820858e-05,NA,-4.3410273251962e-05,0.000332294503567516,2021-10-06,1149,0.165963990316286,825.914371930343,0.119296818820826
"Delta",18909,0.945925510219992,0.00496786893555302,NA,0.936188666026393,0.955662354413591,2021-10-09,816,771.875216339513,724.30564671875,685.139188427655
"Beta",18909,0.00137205003479436,0.000262814868932176,NA,0.000856942357085681,0.00188715771250304,2021-10-09,816,1.1195928283922,724.30564671875,0.993783587782213
"Alpha",18909,0.000100065845183221,5.75413259117176e-05,NA,-1.27130812264269e-05,0.000212844771592869,2021-10-09,816,0.0816537296695083,724.30564671875,0.0724782567098912
"C.1.2",18909,0.0291997192434037,0.00394752001370806,NA,0.0214627221882848,0.0369367162985225,2021-10-09,816,23.8269709026174,724.30564671875,21.1495215305994
"Other",18909,0.0231102051746064,0.00294889055962023,NA,0.0173304858834006,0.0288899244658122,2021-10-09,816,18.8579274224788,724.30564671875,16.7388521047963
"Omicron",18909,0.000292449482020335,0.000180458951707594,NA,-6.12435640144025e-05,0.000646142528055073,2021-10-09,816,0.238638777328593,724.30564671875,0.211822811207302
"Delta",18912,0.944524061159198,0.00534888846046049,NA,0.934040432419373,0.955007689899022,2021-10-12,592,559.158244206245,651.935462268387,615.768730435436
"Beta",18912,0.0012661373025754,0.000252262439008396,NA,0.000771712007466708,0.00176056259768408,2021-10-12,592,0.749553283124634,651.935462268387,0.825439807649739
"Alpha",18912,8.86998942138272e-05,5.27538224355572e-05,NA,-1.4695697806686e-05,0.00019209548623434,2021-10-12,592,0.0525103373745857,651.935462268387,0.0578266065374485
"C.1.2",18912,0.0292049182914021,0.00420824051869325,NA,0.0209569184364812,0.037452918146323,2021-10-12,592,17.2893116285101,651.935462268387,19.0397219068157
"Other",18912,0.0243224830237465,0.00324065234974157,NA,0.0179709211318379,0.0306740449156551,2021-10-12,592,14.3989099500579,651.935462268387,15.8566892136012
"Omicron",18912,0.000593700328864376,0.000338699451983805,NA,-7.01383986073349e-05,0.00125753905633609,2021-10-12,592,0.351470594687711,651.935462268387,0.38705429834709
"Delta",18915,0.942710417923947,0.00577325869322973,NA,0.931395038811784,0.95402579703611,2021-10-15,733,691.006736338253,592.574441214064,558.626099127959
"Beta",18915,0.00116987768225502,0.000242216011373775,NA,0.000695143023483476,0.00164461234102656,2021-10-15,733,0.85752034109293,592.574441214064,0.693239613851072
"Alpha",18915,7.86666731303647e-05,4.83519951221147e-05,NA,-1.61014958896364e-05,0.000173434842150366,2021-10-15,733,0.0576626714045573,592.574441214064,0.0466158598723952
"C.1.2",18915,0.0291869292989239,0.00448020051024521,NA,0.0204058976553253,0.0379679609425225,2021-10-15,733,21.3940191761112,592.574441214064,17.2954283200642
"Other",18915,0.0256460051391652,0.00356548582364122,NA,0.0186577813374403,0.0326342289408901,2021-10-15,733,18.7985217670081,592.574441214064,15.1971671647138
"Omicron",18915,0.00120810328257866,0.000632825421872642,NA,-3.22117527930853e-05,0.0024484183179504,2021-10-15,733,0.885539706130157,592.574441214064,0.715891127602925
"Delta",18918,0.940169602108301,0.00627128957061896,NA,0.927878100413267,0.952461103803336,2021-10-18,209,196.495446840635,535.174068044198,503.154390611794
"Beta",18918,0.00108183739250814,0.000232549645857157,NA,0.000626048462010564,0.00153762632300571,2021-10-18,209,0.226104015034201,535.174068044198,0.578971318310907
"Alpha",18918,6.97781356562828e-05,4.42896175710371e-05,NA,-1.70279196720022e-05,0.000156584190984568,2021-10-18,209,0.0145836303521631,535.174068044198,0.0373434487197128
"C.1.2",18918,0.0291365239474781,0.00476017265987754,NA,0.0198067569739259,0.0384662909210303,2021-10-18,209,6.08953350502293,535.174068044198,15.593112049639
"Other",18918,0.0270793484071601,0.00392536854146444,NA,0.0193857674398433,0.0347729293744769,2021-10-18,209,5.65958381709646,535.174068044198,14.492165047046
"Omicron",18918,0.00246291000889593,0.00117477907882503,NA,0.000160385324607735,0.00476543469318412,2021-10-18,209,0.514748191859249,535.174068044198,1.3180855686876
"Delta",18921,0.936267291710579,0.0069319974077723,NA,0.92268082645042,0.949853756970738,2021-10-21,520,486.858991689501,472.519028121028,442.40411074059
"Beta",18921,0.0010004794859786,0.000223080186185399,NA,0.000563250355390729,0.00143770861656647,2021-10-21,520,0.520249332708873,472.519028121028,0.472745594369634
"Alpha",18921,6.18570190549903e-05,4.051416956505e-05,NA,-1.75492941560565e-05,0.000141263332266037,2021-10-21,520,0.0321656499085949,472.519028121028,0.0292286185263279
"C.1.2",18921,0.0290345785826868,0.00504291199429764,NA,0.0191506526966584,0.0389185044687152,2021-10-21,520,15.0979808629971,472.519028121028,13.7193908537948
"Other",18921,0.0286096160205279,0.00432063178615886,NA,0.0201413333291976,0.0370778987118583,2021-10-21,520,14.8770003306745,472.519028121028,13.5185879569356
"Omicron",18921,0.00502617718117271,0.00216064272515044,NA,0.000791395256419376,0.00926095910592604,2021-10-21,520,2.61361213420981,472.519028121028,2.37496435681182
"Delta",18924,0.929728967800098,0.0079938297016079,NA,0.9140613494864,0.945396586113796,2021-10-24,300,278.918690340029,401.507188966048,373.292864361722
"Beta",18924,0.000923923111267115,0.000213508917896044,NA,0.00050545332181275,0.00134239290072148,2021-10-24,300,0.277176933380134,401.507188966048,0.370961771225624
"Alpha",18924,5.47234916201607e-05,3.69585471418135e-05,NA,-1.77139296987195e-05,0.000127160912939041,2021-10-24,300,0.0164170474860482,401.507188966048,0.0219718752908178
"C.1.2",18924,0.0288421276621402,0.00531893158649434,NA,0.0184172133163788,0.0392670420079016,2021-10-24,300,8.65263829864207,401.507188966048,11.5803216014258
"Other",18924,0.0301983931339109,0.00474762280246241,NA,0.0208932234289035,0.0395035628389184,2021-10-24,300,9.05951794017328,401.507188966048,12.1248719384882
"Omicron",18924,0.0102518648009636,0.00391879669966403,NA,0.00257116440688772,0.0179325651950396,2021-10-24,300,3.07555944028909,401.507188966048,4.11619741789488
"Delta",18927,0.918029990685098,0.00998041313374519,NA,0.898468740392127,0.93759124097807,2021-10-27,472,433.310155603366,330.190006415349,303.124328513795
"Beta",18927,0.000849543663826685,0.000203318690524714,NA,0.0004510463530144,0.00124804097463897,2021-10-27,472,0.400984609326195,330.190006415349,0.280510827809052
"Alpha",18927,4.81761347429907e-05,3.35273338205781e-05,NA,-1.7536232042994e-05,0.000113888501528975,2021-10-27,472,0.0227391355986916,330.190006415349,0.0159072782398548
"C.1.2",18927,0.0284814816718155,0.00557008109188987,NA,0.0175643233407438,0.0393986400028872,2021-10-27,472,13.4432593490969,330.190006415349,9.40430061593538
"Other",18927,0.0317526731833461,0.00519382275724057,NA,0.0215729676370701,0.0419323787296221,2021-10-27,472,14.9872617425394,330.190006415349,10.4844153621135
"Omicron",18927,0.0208381346611703,0.006953982758546,NA,0.00720857890530766,0.034467690417033,2021-10-27,472,9.83559956007239,330.190006415349,6.88054381745573
"Delta",18930,0.896344441115931,0.0136916349415952,NA,0.869509329740934,0.923179552490927,2021-10-30,300,268.903332334779,271.997261945788,243.803233743861
"Beta",18930,0.000773376599245572,0.000191610867486734,NA,0.000397826199925096,0.00114892699856605,2021-10-30,300,0.232012979773672,271.997261945788,0.210356317447741
"Alpha",18930,4.19675896765336e-05,3.00770401985973e-05,NA,-1.69823258742805e-05,0.000100917505227348,2021-10-30,300,0.0125902769029601,271.997261945788,0.0114150694824815
"C.1.2",18930,0.0278037478764001,0.00576140121457014,NA,0.0165116089953573,0.0390958867574429,2021-10-30,300,8.34112436292004,271.997261945788,7.56254329421187
"Other",18930,0.0330689571110094,0.00562827582700946,NA,0.0220377391950135,0.0441001750270053,2021-10-30,300,9.92068713330282,271.997261945788,8.99466578959727
"Omicron",18930,0.0419675097077378,0.0119059916772031,NA,0.0186321948201862,0.0653028245952895,2021-10-30,300,12.5902529123214,271.997261945788,11.415047731188
"Delta",18933,0.856146171310956,0.0197055642362364,NA,0.817523975112892,0.89476836750902,2021-11-02,169,144.688702951552,232.760607474925,199.27710292167
"Beta",18933,0.000689523115744151,0.000176910198696343,NA,0.000342785497801494,0.00103626073368681,2021-11-02,169,0.116529406560761,232.760607474925,0.160493819288612
"Alpha",18933,3.57877521026479e-05,2.63987563107625e-05,NA,-1.59528595030961e-05,8.75283637083919e-05,2021-11-02,169,0.0060481301053475,232.760607474925,0.00832997891957436
"C.1.2",18933,0.0265457723263546,0.0058283193706287,NA,0.0151224762695252,0.037969068383184,2021-11-02,169,4.48623552315392,232.760607474925,6.17881009257335
"Other",18933,0.033743285154204,0.00598475668363449,NA,0.0220133775980451,0.045473192710363,2021-11-02,169,5.70261519106048,232.760607474925,7.85410755069216
