"variant","date_num","prob","SE","df","asymp.LCL","asymp.UCL","date","totcases","cases","smoothed_totcases","smoothed_cases"
"C.1.2",18366,9.2306513550357e-61,1.51129859456369e-59,NA,-2.86978430168047e-59,3.05439732878118e-59,2020-04-14,143,NA,98.7777704726911,NA
"Other",18366,0.999994994388674,1.42295112806787e-06,NA,0.999992205455711,0.999997783321637,2020-04-14,143,142.99928419758,98.7777704726911,98.7772760295644
"Omicron",18366,1.96529277580682e-42,1.17117345008219e-41,NA,-2.09892850422993e-41,2.4919870593913e-41,2020-04-14,143,NA,98.7777704726911,NA
"Delta",18369,5.65662969216157e-50,3.13122758609099e-49,NA,-5.57143032692047e-49,6.70275626535278e-49,2020-04-17,178,NA,123.712789243215,NA
"Beta",18369,6.25586150545476e-06,1.74810920797367e-06,NA,2.82963041678353e-06,9.68209259412598e-06,2020-04-17,178,0.00111354334797095,123.712789243215,NA
"Alpha",18369,1.89718216574016e-21,9.93602276656125e-21,NA,-1.75770646062899e-20,2.13714289377702e-20,2020-04-17,178,NA,123.712789243215,NA
"C.1.2",18369,4.24953135000989e-60,6.87897746417731e-59,NA,-1.30575949452492e-58,1.39075012152512e-58,2020-04-17,178,NA,123.712789243215,NA
"Other",18369,0.999993744138495,1.74810920795627e-06,NA,0.999990317907406,0.999997170369583,2020-04-17,178,177.998886456652,123.712789243215,123.712015313139
"Omicron",18369,2.83352771811854e-42,1.67413796064947e-41,NA,-2.99789733621245e-41,3.56460287983616e-41,2020-04-17,178,NA,123.712789243215,NA
"Delta",18372,2.10182369148833e-49,1.14981677247251e-48,NA,-2.04341709371737e-48,2.46378183201504e-48,2020-04-20,142,NA,159.718852170211,NA
"Beta",18372,7.81495634273784e-06,2.14607825509182e-06,NA,3.60872025475331e-06,1.20211924307224e-05,2020-04-20,142,0.00110972380066877,159.718852170211,0.0012481958568224
"Alpha",18372,3.51803815022193e-21,1.8187140712757e-20,NA,-3.2128102628544e-20,3.91641789289878e-20,2020-04-20,142,NA,159.718852170211,NA
"C.1.2",18372,1.95254841648438e-59,3.1246364936137e-58,NA,-5.92892015061393e-58,6.31942983391081e-58,2020-04-20,142,NA,159.718852170211,NA
"Other",18372,0.999992185043657,2.14607825512677e-06,NA,0.999987978807569,0.999996391279745,2020-04-20,142,141.998890276199,159.718852170211,159.717603974355
"Omicron",18372,4.08680519332907e-42,2.39397651092769e-41,NA,-4.28342722192022e-41,5.10078826058603e-41,2020-04-20,142,NA,159.718852170211,NA
"Delta",18375,7.79556784785858e-49,4.2140730985087e-48,NA,-7.47987471651031e-48,9.03898828608202e-48,2020-04-23,318,NA,206.674665000934,NA
"Beta",18375,9.75802174022868e-06,2.6327219069984e-06,NA,4.5979816212022e-06,1.49180618592552e-05,2020-04-23,318,0.00310305091339272,206.674665000934,0.00201673587423359
"Alpha",18375,6.51683868533912e-21,3.32503992271903e-20,NA,-5.86527462715324e-20,7.16864236422106e-20,2020-04-23,318,NA,206.674665000934,NA
"C.1.2",18375,8.95270103442245e-59,1.41617174174445e-57,NA,-2.68611859939825e-57,2.8651726200867e-57,2020-04-23,318,NA,206.674665000934,NA
"Other",18375,0.99999024197826,2.6327219069344e-06,NA,0.999985081938141,0.999995402018379,2020-04-23,318,317.996896949087,206.674665000934,206.672648265059
"Omicron",18375,5.89668339301632e-42,3.42467576271816e-41,NA,-6.12257281435321e-41,7.30190949295647e-41,2020-04-23,318,NA,206.674665000934,NA
"Delta",18378,2.88575639567524e-48,1.54128064849437e-47,NA,-2.73227892154998e-47,3.30943020068503e-47,2020-04-26,185,NA,260.981952294195,NA
"Beta",18378,1.21780894019191e-05,3.22723645156967e-06,NA,5.85282218724768e-06,1.85033566165905e-05,2020-04-26,185,0.00225294653935503,260.981952294195,0.00317826154732608
"Alpha",18378,1.20583516139185e-20,6.07125667154888e-20,NA,-1.06936092557425e-19,1.31052795785262e-19,2020-04-26,185,NA,260.981952294195,NA
"C.1.2",18378,4.09578595166483e-58,6.40341928776998e-57,NA,-1.21408925867718e-56,1.29600497771048e-56,2020-04-26,185,NA,260.981952294195,NA
"Other",18378,0.999987821910598,3.22723645155121e-06,NA,0.999981496643383,0.999994147177813,2020-04-26,185,184.997747053461,260.981952294195,260.978774032647
"Omicron",18378,8.51158061377393e-42,4.90119868165424e-41,NA,-8.75501483574011e-41,1.04573309584949e-40,2020-04-26,185,NA,260.981952294195,NA
"Delta",18381,1.06605474313072e-47,5.62489490290538e-47,NA,-9.95853668338675e-47,1.20906461696482e-46,2020-04-29,354,NA,319.3193054843,NA
"Beta",18381,1.51902539179031e-05,3.95281760924811e-06,NA,7.44287376632109e-06,2.29376340694851e-05,2020-04-29,354,0.0053773498869377,319.3193054843,0.00485054133119499
"Alpha",18381,2.22855360421134e-20,1.1070781683459e-19,NA,-1.94697797760739e-19,2.39268869844966e-19,2020-04-29,354,NA,319.3193054843,NA
"C.1.2",18381,1.86935040419209e-57,2.88819363653445e-56,NA,-5.47382046756608e-56,5.8476905484045e-56,2020-04-29,354,NA,319.3193054843,NA
"Other",18381,0.999984809746082,3.95281760931527e-06,NA,0.99997706236593,0.999992557126234,2020-04-29,354,353.994622650113,319.3193054843,319.314454942969
"Omicron",18381,1.22914261964116e-41,7.01747353324116e-41,NA,-1.25248527679746e-40,1.49831380072569e-40,2020-04-29,354,NA,319.3193054843,NA
"Delta",18384,3.9296579901699e-47,2.04807986100792e-46,NA,-3.62119696602032e-46,4.4071285640543e-46,2020-05-02,385,NA,381.362383428593,NA
"Beta",18384,1.8936762989532e-05,4.83745201394985e-06,NA,9.45553126524957e-06,2.84179947138145e-05,2020-05-02,385,0.00729065375096983,381.362383428593,0.00722176906811031
"Alpha",18384,4.11350476872062e-20,2.01587953975337e-19,NA,-3.53970081821572e-19,4.36240177195984e-19,2020-05-02,385,NA,381.362383428593,NA
"C.1.2",18384,8.51047610835845e-57,1.2992650577236e-55,NA,-2.46140795842603e-55,2.6316174805932e-55,2020-05-02,385,NA,381.362383428593,NA
"Other",18384,0.999981063237011,4.83745201400268e-06,NA,0.999971582005286,0.999990544468735,2020-05-02,385,384.992709346249,381.362383428593,381.355161659525
"Omicron",18384,1.77580429779942e-41,1.00523419745522e-40,NA,-1.79264239326031e-40,2.14780325282019e-40,2020-05-02,385,NA,381.362383428593,NA
"Delta",18387,1.44521637209802e-46,7.43919394475058e-46,NA,-1.31353358336216e-45,1.60257685778176e-45,2020-05-05,352,NA,448.027145444568,NA
"Beta",18387,2.35932412973863e-05,5.91485449371481e-06,NA,1.20003395159103e-05,3.51861430788622e-05,2020-05-05,352,0.00830482093667996,448.027145444568,0.0105704125502529
"Alpha",18387,7.58270744226726e-20,3.66527073791068e-19,NA,-6.42552789566675e-19,7.9420693841202e-19,2020-05-05,352,NA,448.027145444568,NA
"C.1.2",18387,3.86425735174092e-56,5.82861004483769e-55,NA,-1.10374400326362e-54,1.18102915029844e-54,2020-05-05,352,NA,448.027145444568,NA
"Other",18387,0.999976406758703,5.91485449377332e-06,NA,0.999964813856921,0.999987999660484,2020-05-05,352,351.991695179063,448.027145444568,448.016575032018
"Omicron",18387,2.56684584021586e-41,1.44070180438402e-40,NA,-2.56703906503297e-40,3.08040823307614e-40,2020-05-05,352,NA,448.027145444568,NA
"Delta",18390,5.30226353353243e-46,2.69524402034623e-45,NA,-4.7523548560723e-45,5.81280756277879e-45,2020-05-08,663,NA,521.771582528483,NA
"Beta",18390,2.9376289148137e-05,7.22557526284065e-06,NA,1.52144218653858e-05,4.35381564308882e-05,2020-05-08,663,0.0194764797052149,521.771582528483,0.0153277128776378
"Alpha",18390,1.39582042247034e-19,6.6538236312799e-19,NA,-1.16454342543198e-18,1.44370750992605e-18,2020-05-08,663,NA,521.771582528483,NA
"C.1.2",18390,1.74971220539193e-55,2.60715411456856e-54,NA,-4.93495694616059e-54,5.28489938723897e-54,2020-05-08,663,NA,521.771582528483,NA
"Other",18390,0.999970623710852,7.22557526285026e-06,NA,0.999956461843569,0.999984785578135,2020-05-08,663,662.980523520295,521.771582528483,521.756254815606
"Omicron",18390,3.7121661521634e-41,2.0659209677803e-40,NA,-3.67791407653919e-40,4.42034730697187e-40,2020-05-08,663,NA,521.771582528483,NA
"Delta",18393,1.94038311994463e-45,9.73890601018331e-45,NA,-1.71475219088353e-44,2.10282881487246e-44,2020-05-11,637,NA,607.045734384691,NA
"Beta",18393,3.65527452474666e-05,8.8183044326586e-06,NA,1.92691861547458e-05,5.38363043401874e-05,2020-05-11,637,0.0232840987226362,607.045734384691,0.0221891880825249
"Alpha",18393,2.56564937793689e-19,1.20594848206229e-18,NA,-2.10705065425915e-18,2.62018052984653e-18,2020-05-11,637,NA,607.045734384691,NA
