"date_num","variant","prob","date","totcases","cases","smoothed_totcases","smoothed_cases","totinfections","infections","cuminfections","cuminfectionsperpop"
18875,"Omicron (BA.3)",2.77268299879481e-05,2021-09-05,5931,0.16444782865852,6644.63874908281,0.184234768927151,148392.938836122,4.11446578652114,38.2368879517123,6.30428061392208e-05
18875,"Omicron (BA.5)",1.32186422549064e-08,2021-09-05,5931,NA,6644.63874908281,NA,148392.938836122,0.00196155317162891,0.00905238130504529,1.49250514433333e-08
18876,"Omicron (BA.4)",6.38924931139247e-08,2021-09-06,4118,NA,6304.42690206393,NA,143468.508378157,0.00916656068361643,0.0681092273960982,1.12294620431631e-07
18876,"Beta",0.00245390077992913,2021-09-06,4118,10.1051634117482,6304.42690206393,15.4704380919809,143468.508378157,352.057484604429,14856176.1617095,24.494018313298
18876,"Alpha",0.000207332060487589,2021-09-06,4118,0.85379342508789,6304.42690206393,1.3071098197983,143468.508378157,29.7456214571241,387536.690672392,0.638948454506762
18876,"Other",0.0349456232834199,2021-09-06,4118,143.906076681123,6304.42690206393,220.312127537384,143468.508378157,5013.59644681723,12151571.7220251,20.0348203369976
18876,"Delta",0.962168754359814,2021-09-06,4118,3962.21093045372,6304.42690206393,6065.92257931135,143468.508378157,138040.915996072,16505111.4743524,27.2126890739086
18876,"Omicron (BA.1)",0.000192822308295873,2021-09-06,4118,0.794042265562405,6304.42690206393,1.21563414773857,143468.508378157,27.663928953242,179.666748320159,0.000296224316118926
18876,"Omicron (BA.2)",3.85724649420646e-12,2021-09-06,4118,NA,6304.42690206393,NA,143468.508378157,0,0,0
18876,"Omicron (BA.3)",3.14880818782942e-05,2021-09-06,4118,0.129667921174816,6304.42690206393,0.19851431048791,143468.508378157,4.51754813876814,42.7544360904804,7.04910825757503e-05
18876,"Omicron (BA.5)",1.52298242556009e-08,2021-09-06,4118,NA,6304.42690206393,NA,143468.508378157,0.00218500016881253,0.0112373814738578,1.85275554502119e-08
18877,"Omicron (BA.4)",7.43439511172924e-08,2021-09-07,5372,NA,5977.18453945123,NA,138472.339961303,0.0102945808731802,0.0784038082692785,1.29267739873046e-07
18877,"Beta",0.00233517913306375,2021-09-07,5372,12.5445823028184,5977.18453945123,13.9577966109977,138472.339961303,323.357718784144,14856499.5194283,24.4945514471138
18877,"Alpha",0.000193915845998778,2021-09-07,5372,1.04171592470544,5977.18453945123,1.1590707966585,138472.339961303,26.8519809510265,387563.542653343,0.638992726525753
18877,"Other",0.0353652062526069,2021-09-07,5372,189.981887989004,5977.18453945123,211.384364047586,138472.339961303,4897.10286301258,12156468.8248881,20.0428944016764
18877,"Delta",0.961838225409077,2021-09-07,5372,5166.99494689756,5977.18453945123,5749.08457036834,138472.339961303,133187.989736622,16638299.4640891,27.4322818563454
18877,"Omicron (BA.1)",0.000231645682325367,2021-09-07,5372,1.24440060545187,5977.18453945123,1.38458899102581,138472.339961303,32.0765196735262,211.743267993685,0.00034911025741082
18877,"Omicron (BA.2)",5.68403669751223e-12,2021-09-07,5372,NA,5977.18453945123,NA,138472.339961303,0,0,0
18877,"Omicron (BA.3)",3.57357835466178e-05,2021-09-07,5372,0.191972629212431,5977.18453945123,0.213599372920019,138472.339961303,4.9484175680508,47.7028536585312,7.86497520216661e-05
18877,"Omicron (BA.5)",1.75437462491609e-08,2021-09-07,5372,NA,5977.18453945123,NA,138472.339961303,0.00242932359480864,0.0136667050686665,2.25328860260257e-08
18878,"Omicron (BA.4)",8.6476988710974e-08,2021-09-08,7337,NA,5661.12189585695,NA,133430.346724859,0.011538654587427,0.0899424628567054,1.48292017298061e-07
18878,"Beta",0.00222257136416912,2021-09-08,7337,16.3070060989088,5661.12189585695,12.5822474148025,133430.346724859,296.558467741829,14856796.077896,24.4950403958487
18878,"Alpha",0.000181353215384151,2021-09-08,7337,1.33058854127352,5661.12189585695,1.02666265849528,133430.346724859,24.1980224083753,387587.740675752,0.639032622848842
18878,"Other",0.0358060080925131,2021-09-08,7337,262.708681374769,5661.12189585695,202.702176415757,133430.346724859,4777.60807461713,12161246.4329627,20.0507714501443
18878,"Delta",0.961471524283689,2021-09-08,7337,7054.31657366943,5661.12189585695,5443.00749836535,133430.346724859,128289.478851251,16766588.9429403,27.6437982526362
18878,"Omicron (BA.1)",0.000277906802392962,2021-09-08,7337,2.03900220915716,5661.12189585695,1.57326428403439,133430.346724859,37.0812010004898,248.824468994175,0.000410247632634336
18878,"Omicron (BA.2)",8.35395087547831e-12,2021-09-08,7337,NA,5661.12189585695,NA,133430.346724859,0,0,0
18878,"Omicron (BA.3)",4.0529551047095e-05,2021-09-08,7337,0.297365316032536,5661.12189585695,0.229442728861962,133430.346724859,5.40787204881677,53.110725707348,8.75659438840847e-05
18878,"Omicron (BA.5)",2.02054617726714e-08,2021-09-08,7337,NA,5661.12189585695,NA,133430.346724859,0.00269602177006344,0.0163627268387299,2.69779333847926e-08
18879,"Omicron (BA.4)",1.00557453419122e-07,2021-09-09,6268,NA,5354.77365705913,NA,128366.997341798,0.0129082583557504,0.102850721212456,1.6957441952034e-07
