"LINEAGE2","DATE_NUM","REGION","prob","SE","df","asymp.LCL","asymp.UCL","collection_date"
"P.1",18662,"East Midlands",0.001,1.74726106337182e-06,NA,0.001,0.001,2021-02-04
"B.1.617.1",18662,"East Midlands",0.001,5.2963385675229e-14,NA,0.001,0.001,2021-02-04
"B.1.617.2",18662,"East Midlands",0.001,1.5935976127606e-10,NA,0.001,0.001,2021-02-04
"B.1.1.7",18666,"East Midlands",0.959588264495768,0.00172918247391636,NA,0.956199129124194,0.962977399867342,2021-02-08
"other",18666,"East Midlands",0.0108177270665392,0.000569184749583743,NA,0.0097021454568056,0.0119333086762728,2021-02-08
"B.1.177+",18666,"East Midlands",0.0290365193733485,0.0013425736760058,NA,0.0264051233217856,0.0316679154249114,2021-02-08
"B.1.525",18666,"East Midlands",0.001,6.50040061908286e-05,NA,0.001,0.001,2021-02-08
"B.1.351",18666,"East Midlands",0.001,0.000114697260465596,NA,0.001,0.001,2021-02-08
"P.1",18666,"East Midlands",0.001,2.43375792434819e-06,NA,0.001,0.001,2021-02-08
"B.1.617.1",18666,"East Midlands",0.001,8.02946696865721e-13,NA,0.001,0.001,2021-02-08
"B.1.617.2",18666,"East Midlands",0.001,6.33205026201875e-10,NA,0.001,0.001,2021-02-08
"B.1.1.7",18670,"East Midlands",0.967459901610791,0.00140934881659624,NA,0.964697628688608,0.970222174532974,2021-02-12
"other",18670,"East Midlands",0.00952242718213753,0.000504192763114246,NA,0.00853422752516787,0.0105106268391072,2021-02-12
"B.1.177+",18670,"East Midlands",0.0223965298860792,0.00106657790673683,NA,0.0203060756021689,0.0244869841699895,2021-02-12
"B.1.525",18670,"East Midlands",0.001,7.06131659769721e-05,NA,0.001,0.001,2021-02-12
"B.1.351",18670,"East Midlands",0.001,0.000127620040519517,NA,0.001,0.001,2021-02-12
"P.1",18670,"East Midlands",0.001,3.3415415524751e-06,NA,0.001,0.001,2021-02-12
"B.1.617.1",18670,"East Midlands",0.001,9.93469246324701e-12,NA,0.001,0.001,2021-02-12
"B.1.617.2",18670,"East Midlands",0.001,2.33993490482565e-09,NA,0.001,0.001,2021-02-12
"B.1.1.7",18674,"East Midlands",0.973492833376857,0.00116121132917214,NA,0.971216900993239,0.975768765760474,2021-02-16
"other",18674,"East Midlands",0.0084923889454446,0.000452069859812423,NA,0.00760634830171618,0.00937842958917302,2021-02-16
"B.1.177+",18674,"East Midlands",0.0173264028712974,0.000852032808000414,NA,0.01565644925397,0.0189963564886247,2021-02-16
"B.1.525",18674,"East Midlands",0.001,7.63339327666322e-05,NA,0.001,0.001,2021-02-16
"B.1.351",18674,"East Midlands",0.001,0.000141339318539138,NA,0.001,0.001,2021-02-16
"P.1",18674,"East Midlands",0.001,4.52886408096892e-06,NA,0.001,0.001,2021-02-16
"B.1.617.1",18674,"East Midlands",0.001,1.01047146006986e-10,NA,0.001,0.001,2021-02-16
"B.1.617.2",18674,"East Midlands",0.001,8.06177014362469e-09,NA,0.001,0.001,2021-02-16
"B.1.1.7",18678,"East Midlands",0.978119545653993,0.000969849314346505,NA,0.976218675927443,0.980020415380543,2021-02-20
"other",18678,"East Midlands",0.00767302300159464,0.000410469917596072,NA,0.00686851674636921,0.00847752925682006,2021-02-20
"B.1.177+",18678,"East Midlands",0.0134481258800694,0.000685022201691018,NA,0.0121055070361446,0.0147907447239941,2021-02-20
"B.1.525",18678,"East Midlands",0.001,8.21552624433648e-05,NA,0.001,0.001,2021-02-20
