"LINEAGE","DATE_NUM","prob","SE","df","asymp.LCL","asymp.UCL","collection_date"
"Delta",18567,3.19088896927991e-10,3.88440946977514e-10,NA,-4.4224136926857e-10,1.08041916312455e-09,2020-11-01
"Omicron (BA.2)",18567,2.15207350667881e-80,1.42999597256811e-79,NA,-2.58753325360295e-79,3.01794795493871e-79,2020-11-01
"Omicron (BA.3)",18567,2.61981562214565e-45,9.98279896111837e-44,NA,-1.93039448664813e-43,1.98279079909104e-43,2020-11-01
"Omicron (BA.1.1, with S:R346K)",18567,9.84831282173979e-56,4.23718213707623e-55,NA,-7.31989310243188e-55,9.28955566677984e-55,2020-11-01
"Omicron (BA.4)",18567,5.71391964284775e-23,2.24557063421728e-22,NA,-3.82984560352186e-22,4.97262953209141e-22,2020-11-01
"Omicron (BA.5)",18567,2.49240740728951e-48,1.14011493140056e-47,NA,-1.9853434630525e-47,2.48382494451041e-47,2020-11-01
"Omicron (BA.1)",18574,1.86938919285808e-41,7.05418682374638e-41,NA,-1.19565629219018e-40,1.5695341307618e-40,2020-11-08
"Other",18574,0.995113205320965,0.000874100444913613,NA,0.993399999930064,0.996826410711866,2020-11-08
"Alpha",18574,0.00461870435174599,0.000839875364345453,NA,0.00297257888612644,0.00626482981736553,2020-11-08
"Beta",18574,0.00026782610830784,0.00012719800014177,NA,1.852260912445e-05,0.00051712960749123,2020-11-08
"Gamma",18574,2.63318354552201e-07,1.88723560683572e-07,NA,-1.06573027421759e-07,6.3320973652616e-07,2020-11-08
"Delta",18574,9.00626817547606e-10,1.03491231074177e-09,NA,-1.12776403866339e-09,2.9290176737586e-09,2020-11-08
"Omicron (BA.2)",18574,3.11457363544113e-80,2.08386838540641e-79,NA,-3.77284962037408e-79,4.39576434746231e-79,2020-11-08
"Omicron (BA.3)",18574,1.17138435771617e-45,4.49013824638561e-44,NA,-8.68337081275001e-44,8.91764768429324e-44,2020-11-08
"Omicron (BA.1.1, with S:R346K)",18574,2.23752544599979e-56,9.72223354703686e-56,NA,-1.68177021554796e-55,2.12927530474791e-55,2020-11-08
"Omicron (BA.4)",18574,4.1295735448003e-22,1.63833377257087e-21,NA,-2.7981178344145e-21,3.62403254337456e-21,2020-11-08
"Omicron (BA.5)",18574,5.38963852324569e-48,2.4912850023418e-47,NA,-4.34386502749014e-47,5.42179273213928e-47,2020-11-08
"Omicron (BA.1)",18581,7.15039575437156e-42,2.72022343284067e-41,NA,-4.61650038283246e-41,6.04657953370677e-41,2020-11-15
"Other",18581,0.991598318303704,0.00134948150026947,NA,0.988953383165373,0.994243253442035,2020-11-15
"Alpha",18581,0.00786603201376533,0.00128622564159034,NA,0.00534507608025635,0.0103869879472743,2020-11-15
"Beta",18581,0.00053485500025594,0.0002281493415031,NA,8.76905078133345e-05,0.000982019492698546,2020-11-15
"Gamma",18581,7.92186980086454e-07,5.20040800311269e-07,NA,-2.27074259015019e-07,1.81144821918793e-06,2020-11-15
"Delta",18581,2.49529436113946e-09,2.7011043261341e-09,NA,-2.7987728365687e-09,7.78936155884763e-09,2020-11-15
"Omicron (BA.2)",18581,5.02080311360303e-80,3.37930574411438e-79,NA,-6.12123723985321e-79,7.12539786257381e-79,2020-11-15
"Omicron (BA.3)",18581,5.74501596251364e-46,2.21324277872244e-44,NA,-4.28042597571419e-44,4.39532629496446e-44,2020-11-15
"Omicron (BA.1.1, with S:R346K)",18581,5.84322587904363e-57,2.56128604867712e-56,NA,-4.4357058216077e-56,5.60435099741642e-56,2020-11-15
"Omicron (BA.4)",18581,2.84901041312774e-21,1.13996499829557e-20,NA,-1.9493892989828e-20,2.51919138160835e-20,2020-11-15
"Omicron (BA.5)",18581,1.19809484791636e-47,5.59323946684726e-47,NA,-9.76445306401228e-47,1.2160642759845e-46,2020-11-15
"Omicron (BA.1)",18588,3.03562742180334e-42,1.1630351050994e-41,NA,-1.97594417657024e-41,2.58306966093091e-41,2020-11-22
"Other",18588,0.985803960107992,0.0020305478536812,NA,0.981824159445892,0.989783760770092,2020-11-22
"Alpha",18588,0.0131587753037165,0.00191853208082833,NA,0.00939852152210832,0.0169190290853247,2020-11-22
"Beta",18588,0.00103495919755909,0.000393607305753799,NA,0.000263503054229801,0.00180641534088838,2020-11-22
"Gamma",18588,2.29861287571822e-06,1.37563139533251e-06,NA,-3.97575115136084e-07,4.99480086657253e-06,2020-11-22
"Delta",18588,6.77785678798156e-09,6.89659970480608e-09,NA,-6.73923024922792e-09,2.0294943825191e-08,2020-11-22
"Omicron (BA.2)",18588,9.032858624809e-80,6.11006227051194e-79,NA,-1.10722161310195e-78,1.28787878559813e-78,2020-11-22
"Omicron (BA.3)",18588,3.09540931812885e-46,1.19736995645799e-44,NA,-2.31584789764667e-44,2.37775608400925e-44,2020-11-22
"Omicron (BA.1.1, with S:R346K)",18588,1.75881754712165e-57,7.76880491039382e-57,NA,-1.34677602801682e-56,1.69853953744114e-56,2020-11-22
"Omicron (BA.4)",18588,1.87288538982025e-20,7.55091984334708e-20,NA,-1.29266455532889e-19,1.66724163329294e-19,2020-11-22
"Omicron (BA.5)",18588,2.7373130844616e-47,1.28996641071099e-46,NA,-2.25455639781378e-46,2.8020190147061e-46,2020-11-22
"Omicron (BA.1)",18595,1.4324415381474e-42,5.52110535057544e-42,NA,-9.38872610383185e-42,1.22536091801267e-41,2020-11-29
"Other",18595,0.976473841551164,0.00296572079970058,NA,0.97066113559555,0.982286547506779,2020-11-29
"Alpha",18595,0.0215838795425562,0.00277699021777243,NA,0.0161410787303022,0.0270266803548102,2020-11-29
