"DATE_NUM","LINEAGE","prob","collection_date","totcases","cases","smoothed_totcases","smoothed_cases"
18633,"Other",0.773982982297815,2021-01-06,2302,1781.70882524957,3788.87326497238,2932.52342917179
18634,"Other",0.763740843053905,2021-01-07,1810,1382.37092592757,3779.35557403447,2886.44821231356
18635,"Other",0.753256494981279,2021-01-08,1934,1456.79806129379,3779.80403678553,2847.16194046516
18636,"Other",0.742539954455261,2021-01-09,1302,966.78702070075,3788.99318715287,2813.47882861979
18637,"Other",0.73160225905915,2021-01-10,808,591.134625319793,3805.75237007467,2784.29703136634
18638,"Other",0.720455425980982,2021-01-11,2849,2052.57750861982,3828.93985131727,2758.58049163634
18639,"Other",0.709112400639495,2021-01-12,2269,1608.97603705101,3857.42090964466,2735.34500151511
18640,"Other",0.697586995937815,2021-01-13,2044,1425.86781969689,3890.04959584811,2713.64801161679
18641,"Other",0.685893822711149,2021-01-14,2023,1387.56320334466,3925.65402204604,2692.58184382256
18642,"Other",0.674048212094531,2021-01-15,2070,1395.27979903568,3963.02518983109,2671.27004369124
18643,"Other",0.662066130684623,2021-01-16,1141,755.417455111155,4000.90947963172,2648.8666583992
18644,"Other",0.649964089500303,2021-01-17,697,453.024970381711,4038.00500617707,2624.55824723754
18645,"Other",0.637759047858161,2021-01-18,2936,1872.46056451156,4072.96209460231,2597.56842741595
18646,"Other",0.625468313366229,2021-01-19,2344,1466.09772653044,4104.38814575718,2567.16473092708
18647,"Other",0.613109439301001,2021-01-20,2415,1480.65929591192,4130.85713437209,2532.66750148741
18648,"Other",0.600700120667221,2021-01-21,2270,1363.58927391459,4150.92391669206,2493.46049763737
18649,"Other",0.588258090246079,2021-01-22,2524,1484.7634197811,4163.14350632293,2449.00284844989
18650,"Other",0.575801015915896,2021-01-23,1357,781.361978597871,4166.58278510582,2399.12260056162
18651,"Other",0.563346400481386,2021-01-24,795,447.860388382702,4161.98092460574,2344.63697274883
18652,"Other",0.550911485174613,2021-01-25,3286,1810.29514028378,4150.46000236364,2286.53608405998
18653,"Other",0.538513157895869,2021-01-26,2700,1453.98552631885,4133.16838277422,2225.76555792311
18654,"Other",0.526167867149474,2021-01-27,2512,1321.73368227948,4111.26359717515,2163.21479821492
